Year,Population,,,,,,,,,,,,,,,,,,,,,,,,
2010,4523100,,,,,,,,,,,,,,,,,,,,,,,,
2011,4618880,,,,,,,,,,,,,,,,,,,,,,,,
2012,4714660,,,,,,,,,,,,,,,,,,,,,,,,
2013,4810440,,,,,,,,,,,,,,,,,,,,,,,,
2014,4906220,,,,,,,,,,,,,,,,,,,,,,,,
2015,5002000,,,,,,,,,,,,,,,,,,,,,,,,
2016,5093580,,,,,,,,,,,,,,,,,,,,,,,,
2017,5185160,,,,,,,,,,,,,,,,,,,,,,,,
2018,5276740,,,,,,,,,,,,,,,,,,,,,,,,
2019,5368320,,,,,,,,,,,,,,,,,,,,,,,,
2020,5459900,,,,,,,,,,,,,,,,,,,,,,,,
2021,5541920,,,,,,,,,,,,,,,,,,,,,,,,
2022,5623940,,,,,,,,,,,,,,,,,,,,,,,,
2023,5705960,,,,,,,,,,,,,,,,,,,,,,,,
2024,5787980,,,,,,,,,,,,,,,,,,,,,,,,
2025,5870000,,,,,,,,,,,,,,,,,,,,,,,,
2026,5941520,,,,,,,,,,,,,,,,,,,,,,,,
2027,6013040,,,,,,,,,,,,,,,,,,,,,,,,
2028,6084560,,,,,,,,,,,,,,,,,,,,,,,,
2029,6156080,,,,,,,,,,,,,,,,,,,,,,,,
2030,6227600,,,,,,,,,,,,,,,,,,,,,,,,
2031,6290360,,,,,,,,,,,,,,,,,,,,,,,,
2032,6353120,,,,,,,,,,,,,,,,,,,,,,,,
2033,6415880,,,,,,,,,,,,,,,,,,,,,,,,
2034,6478640,,,,,,,,,,,,,,,,,,,,,,,,
2035,6541400,,,,,,,,,,,,,,,,,,,,,,,,
