Padi,Pertanian kehutanan dan perikanan
Tanaman Bahan Makanan Lainnya,Pertanian kehutanan dan perikanan
Sayur-Sayuran,Pertanian kehutanan dan perikanan
Buah-Buahan,Pertanian kehutanan dan perikanan
Tanaman Hortikultura Lainnya,Pertanian kehutanan dan perikanan
Kelapa Sawit,Pertanian kehutanan dan perikanan
Lada,Pertanian kehutanan dan perikanan
Karet,Pertanian kehutanan dan perikanan
Tanaman Perkebunan Lainnya,Pertanian kehutanan dan perikanan
Ternak dan Hasil-Hasilnya,Pertanian kehutanan dan perikanan
Unggas dan Hasil-Hasilnya serta Pemeliharaan Hewan Lainnya,Pertanian kehutanan dan perikanan
Jasa Pertanian,Pertanian kehutanan dan perikanan
Hasil Kehutanan dan Penebangan Kayu,Pertanian kehutanan dan perikanan
Ikan dan Hasil Perikanan Lainnya,Pertanian kehutanan dan perikanan
Migas (tambang),Pertambangan dan penggalian
Bijih Timah,Pertambangan dan penggalian
Hasil Tambang dan Galian Lainnya,Pertambangan dan penggalian
Produk industri Pengilangan Migas,Industri pengolahan
Minyak Hewani dan Nabati,Industri pengolahan
Krupuk Getas Kritcu dan Produk Makanan Lainnya yang Sejenis,Industri pengolahan
Makanan Lainnya,Industri pengolahan
Minuman,Industri pengolahan
Produk Tembakau,Industri pengolahan
Tekstil dan Pakaian Jadi,Industri pengolahan
Kulit  Barang dari Kulit dan Alas Kaki,Industri pengolahan
Kayu  Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu  Rotan dan Sejenisnya,Industri pengolahan
Kertas  Barang dari Kertas dan Pencetakan  Reproduksi Media Rekamam,Industri pengolahan
Bahan Kimia dan Barang dari Bahan Kimia  Farmasi  Produk obat Kimia dan Obat Tradisional,Industri pengolahan
Karet  Barang dari Karet dan Plastik,Industri pengolahan
Barang Galian Bukan Logam Lainnya,Industri pengolahan
Logam Dasar Mulia dan Logam Dasar Bukan Besi Lainnya,Industri pengolahan
Logam Dasar Besi dan Baja  Barang dari Logam  Mesin dan Peralatannya Komputer  Barang Elektronik dan Optik  Peralatan Listrik,Industri pengolahan
Mesin dan Perlengkapan Ytdl,Industri pengolahan
Kendaraan Bermotor  Trailer dan Semi Trailer  dan Alat Angkutan Lainnya,Industri pengolahan
Furnitur,Industri pengolahan
Produk Pengolahan Lainnya  Jasa Reparasi dan Pemasangan,Industri pengolahan
Listrik  Gas dan Produk Es,Pengadaan listrik dan gas
Pengadaan Air  Pengelolaan Sampah  Limbah dan Daur Ulang,Pengadaan air pengelolaan sampah limbah dan daur ulang
Konstruksi dan Jasa Konstruksi,Konstruksi
Perdagangan Mobil  Sepeda Motor dan Reparasinya,Perdagangan besar dan eceran reparasi mobil dan sepeda motor
Perdagangan Selain Mobil dan Sepeda Motor,Perdagangan besar dan eceran reparasi mobil dan sepeda motor
Jasa Angkutan Darat,Transportasi dan pergudangan
Jasa Angkutan Laut,Transportasi dan pergudangan
Jasa Angkutan Sungai,Transportasi dan pergudangan
Jasa Angkutan Udara,Transportasi dan pergudangan
Pergudangan dan Jasa Penunjang Angkutan  Pos dan Kurir,Transportasi dan pergudangan
Jasa Penyediaan Akomodasi,Penyediaan akomodasi dan makan minum
Jasa Penyediaan Makan Minum,Penyediaan akomodasi dan makan minum
Informasi dan Komunikasi,Informasi dan komunikasi
Jasa Keuangan Perbankan,Jasa keuangan dan asuransi
Jasa Asuransi dan Dana Pensiun,Jasa keuangan dan asuransi
Jasa Lembaga Keuangan Lainnya,Jasa keuangan dan asuransi
Jasa Real Estat,Real estat
Jasa Perusahaan dan Jasa Persewaan,Real estat
Jasa Agen Perjalanan  Penyelenggaraan Tur dan Jasa Reservasi Lainnya,Jasa perusahaan
Jasa Pemerintahan Umum,Administrasi pemerintahan pertahanan dan jaminan sosial wajib
Jasa Pendidikan,Jasa pendidikan
Jasa Kesehatan dan Kegiatan Sosial,Jasa kesehatan dan kegiatan sosial
Jasa Kesenian Hiburan dan Rekreasi,Jasa kesehatan dan kegiatan sosial
Jasa Perorangan yang Melayani Rumah Tangga,Jasa lainnya
