ID,Sektor,Labour
1,Padi,2763
2,Tanaman Bahan Makanan Lainnya,2075
3,Sayur-Sayuran,6680
4,Buah-Buahan,6474
5,Tanaman Hortikultura Lainnya,533
6,Kelapa Sawit,60330
7,Lada,72607
8,Karet,6715
9,Tanaman Perkebunan Lainnya,392
10,Ternak dan Hasil-Hasilnya,4040
11,Unggas dan Hasil-Hasilnya serta Pemeliharaan Hewan Lainnya,7671
12,Jasa Pertanian,3741
13,Hasil Kehutanan dan Penebangan Kayu,4473
14,Ikan dan Hasil Perikanan Lainnya,50086
15,Migas (tambang),1453
16,Bijih Timah,32931
17,Hasil Tambang dan Galian Lainnya,13347
18,Produk industri Pengilangan Migas,0
19,Minyak Hewani dan Nabati,28668
20,Krupuk Getas Kritcu dan Produk Makanan Lainnya yang Sejenis,931
21,Makanan Lainnya,2361
22,Minuman,55
23,Produk Tembakau,0
24,Tekstil dan Pakaian Jadi,154
25,Kulit  Barang dari Kulit dan Alas Kaki,0
26,Kayu  Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu  Rotan dan Sejenisnya,1112
27,Kertas  Barang dari Kertas dan Pencetakan  Reproduksi Media Rekamam,193
28,Bahan Kimia dan Barang dari Bahan Kimia  Farmasi  Produk obat Kimia dan Obat Tradisional,135
29,Karet  Barang dari Karet dan Plastik,1655
30,Barang Galian Bukan Logam Lainnya,2752
31,Logam Dasar Mulia dan Logam Dasar Bukan Besi Lainnya,25876
32,Logam Dasar Besi dan Baja  Barang dari Logam  Mesin dan Peralatannya Komputer  Barang Elektronik dan Optik  Peralatan Listrik,2875
33,Mesin dan Perlengkapan Ytdl,0
34,Kendaraan Bermotor  Trailer dan Semi Trailer  dan Alat Angkutan Lainnya,1016
35,Furnitur,241
36,Produk Pengolahan Lainnya  Jasa Reparasi dan Pemasangan,459
37,Listrik  Gas dan Produk Es,4681
38,Pengadaan Air  Pengelolaan Sampah  Limbah dan Daur Ulang,338
39,Konstruksi dan Jasa Konstruksi,113180
40,Perdagangan Mobil  Sepeda Motor dan Reparasinya,501
41,Perdagangan Selain Mobil dan Sepeda Motor,2369
42,Jasa Angkutan Darat,28787
43,Jasa Angkutan Laut,1859
44,Jasa Angkutan Sungai,224
45,Jasa Angkutan Udara,2835
46,Pergudangan dan Jasa Penunjang Angkutan  Pos dan Kurir,1371
47,Jasa Penyediaan Akomodasi,295
48,Jasa Penyediaan Makan Minum,6238
49,Informasi dan Komunikasi,2323
50,Jasa Keuangan Perbankan,3030
51,Jasa Asuransi dan Dana Pensiun,316
52,Jasa Lembaga Keuangan Lainnya,1423
53,Jasa Real Estat,9537
54,Jasa Perusahaan dan Jasa Persewaan,1328
55,Jasa Agen Perjalanan  Penyelenggaraan Tur dan Jasa Reservasi Lainnya,535
56,Jasa Pemerintahan Umum,64062
57,Jasa Pendidikan,21940
58,Jasa Kesehatan dan Kegiatan Sosial,7858
59,Jasa Kesenian Hiburan dan Rekreasi,773
60,Jasa Perorangan yang Melayani Rumah Tangga,3353
