Kode,Sektor,Total_Cons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
1,Padi,3.047535948,0,0,0,0,0.531226038,1.155105856,0,1.341112971,0,0,0,0,0,0,0.000116821,0.001074151,0,0,0.018900111,0,0,0,0,0,0,0
2,Tanaman Bahan Makanan Lainnya,2.313482627,0,0,0,0,0.403270783,0.876878034,0,1.018082022,0,0,0,0,0,0,8.87E-05,0.000815422,0,0,0.014347683,0,0,0,0,0,0,0
3,Sayur-Sayuran,7.939011342,0,0,0,0,1.383875238,3.009119055,0,3.493678589,0,0,0,0,0,0,0.000304326,0.002798227,0,0,0.049235908,0,0,0,0,0,0,0
4,Buah-Buahan,10.55547411,0,0,0,0,1.839959489,4.000835485,0,4.645091475,0,0,0,0,0,0,0.000404622,0.003720439,0,0,0.065462603,0,0,0,0,0,0,0
5,Tanaman Hortikultura Lainnya,0.63264351,0,0,0,0,0.110278176,0.239790518,0,0.278404072,0,0,0,0,0,0,2.43E-05,0.000222985,0,0,0.003923508,0,0,0,0,0,0,0
6,Kelapa Sawit,50.52203428,0,0,0,0,8.806662343,19.14933856,0,22.2329635,0,0,0,0,0,0,0.001936659,0.017807267,0,0,0.313325943,0,0,0,0,0,0,0
7,Lada,52.73000616,0,0,0,0,9.191541201,19.98622492,0,23.20461397,0,0,0,0,0,0,0.002021297,0.018585501,0,0,0.327019272,0,0,0,0,0,0,0
8,Karet,3.795317888,0,0,0,0,0.661574373,1.438537229,0,1.670185401,0,0,0,0,0,0,0.000145486,0.001337718,0,0,0.023537682,0,0,0,0,0,0,0
9,Tanaman Perkebunan Lainnya,0.34055392,0,0,0,0,0.059363076,0.129079963,0,0.149865756,0,0,0,0,0,0,1.31E-05,0.000120033,0,0,0.002112036,0,0,0,0,0,0,0
10,Ternak dan Hasil-Hasilnya,3.981706624,0,0,0,0,0.694064407,1.509184048,0,1.752208503,0,0,0,0,0,0,0.000152631,0.001403414,0,0,0.024693621,0,0,0,0,0,0,0
11,Unggas dan Hasil-Hasilnya serta Pemeliharaan Hewan Lainnya,9.025310315,0,0,0,0,1.573231593,3.420858351,0,3.971720413,0,0,0,0,0,0,0.000345967,0.003181109,0,0,0.055972882,0,0,0,0,0,0,0
12,"Jasa Pertanian, Kehutanan dan Perikanan",2.659291715,0,0,0,0,0.463549905,1.00794986,0,1.170260392,0,0,0,0,0,0,0.000101939,0.000937308,0,0,0.016492311,0,0,0,0,0,0,0
13,Hasil Kehutanan dan Penebangan Kayu,3.481257078,0,0,0,0,0.606829397,1.319498935,0,1.531978327,0,0,0,0,0,0,0.000133447,0.001227023,0,0,0.021589949,0,0,0,0,0,0,0
14,Ikan dan Hasil Perikanan Lainnya,62.11750213,0,0,0,0,10.82790657,23.5443623,0,27.3357195,0,0,0,0,0,0,0.002381147,0.021894268,0,0,0.385238346,0,0,0,0,0,0,0
15,Migas (tambang),103.5606414,59.65856419,0.007125329,0,0,0.217616157,0.473187833,0,8.494277381,0.413084929,0,0.114030909,34.08980293,0,0,4.79E-05,0.000440025,0,0,0.092463893,0,0,0,0,0,0,0
16,Bijih Timah,1151.776121,663.5079572,0.079246162,0,0,2.420273664,5.262679323,0,94.47127515,4.594229528,0,1.268223881,379.1384491,0,0,0.000532238,0.004893847,0,0,1.028360797,0,0,0,0,0,0,0
17,Hasil Tambang dan Galian Lainnya,456.3905181,262.9145846,0.031401239,0,0,0.959031822,2.085333164,0,37.43417964,1.82046038,0,0.502532865,150.2333571,0,0,0.000210899,0.001939184,0,0,0.407487279,0,0,0,0,0,0,0
18,Produk industri Pengilangan Migas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Minyak Hewani dan Nabati,97.41515075,0,0,0,0,16.98075606,36.92321043,0,42.8689684,0,0,0,0,0,0,0.00373421,0.034335467,0,0,0.604146179,0,0,0,0,0,0,0
