Year,Population,,,,,,,,,,,,,,,,,,,,,,,,
2010,1230200,,,,,,,,,,,,,,,,,,,,,,,,
2011,1258720,,,,,,,,,,,,,,,,,,,,,,,,
2012,1287240,,,,,,,,,,,,,,,,,,,,,,,,
2013,1315760,,,,,,,,,,,,,,,,,,,,,,,,
2014,1344280,,,,,,,,,,,,,,,,,,,,,,,,
2015,1372800,,,,,,,,,,,,,,,,,,,,,,,,
2016,1401760,,,,,,,,,,,,,,,,,,,,,,,,
2017,1430720,,,,,,,,,,,,,,,,,,,,,,,,
2018,1459680,,,,,,,,,,,,,,,,,,,,,,,,
2019,1488640,,,,,,,,,,,,,,,,,,,,,,,,
2020,1517600,,,,,,,,,,,,,,,,,,,,,,,,
2021,1545580,,,,,,,,,,,,,,,,,,,,,,,,
2022,1573560,,,,,,,,,,,,,,,,,,,,,,,,
2023,1601540,,,,,,,,,,,,,,,,,,,,,,,,
2024,1629520,,,,,,,,,,,,,,,,,,,,,,,,
2025,1657500,,,,,,,,,,,,,,,,,,,,,,,,
2026,1683780,,,,,,,,,,,,,,,,,,,,,,,,
2027,1710060,,,,,,,,,,,,,,,,,,,,,,,,
2028,1736340,,,,,,,,,,,,,,,,,,,,,,,,
2029,1762620,,,,,,,,,,,,,,,,,,,,,,,,
2030,1788900,,,,,,,,,,,,,,,,,,,,,,,,
2031,1813320,,,,,,,,,,,,,,,,,,,,,,,,
2032,1837740,,,,,,,,,,,,,,,,,,,,,,,,
2033,1862160,,,,,,,,,,,,,,,,,,,,,,,,
2034,1886580,,,,,,,,,,,,,,,,,,,,,,,,
2035,1911000,,,,,,,,,,,,,,,,,,,,,,,,
