Sektor,Kategori,Hutan lahan kering primer,Hutan lahan kering sekunder / bekas tebangan,Hutan rawa primer,Hutan rawa sekunder,Hutan mangrove primer,Hutan mangrove sekunder,Hutan tanaman,Perkebunan,Semak belukar,Semak belukar rawa,Savanna / Padang rumput,Pertanian lahan kering,Pertanian lahan kering  campur semak / kebun campur,Sawah,Tambak,Pemukiman,Transmigrasi,Lahan terbuka,Pertambangan,Tubuh air,Rawa,Awan,Bandara,Total kebutuhan lahan,LRC,LPC
Padi,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,0,0,5804.6,0,5811.6,0,1768,0,0,0,0,0,0,0,0,0,13384.2,0.059637475,16.76798016
Tanaman Bahan Makanan Lainnya,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,0,0,0,0,5811.6,0,0,0,0,242,0,0,0,0,0,0,6053.6,0.035532286,28.14341879
Sayur-Sayuran,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,0,0,0,0,5811.6,0,0,0,0,242,0,0,0,0,0,0,6053.6,0.010354353,96.57773887
Buah-Buahan,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,381.6808174,29576.5,0,0,0,390329.1,0,0,0,242,0,0,0,0,0,0,420529.2808,0.540996137,1.848442036
Tanaman Hortikultura Lainnya,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,0,0,5804.6,0,34869.6,0,0,0,0,242,0,0,0,0,0,0,40916.2,0.878237352,1.138644351
Kelapa Sawit,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,166384.9662,0,0,0,0,55761.3,0,0,0,242,0,0,0,0,0,0,222388.2662,0.059773228,16.72989795
Lada,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,0,0,0,0,0,55761.3,0,0,0,242,0,0,0,0,0,0,56003.3,0.014422198,69.33755689
Karet,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,0,0,0,0,0,55761.3,0,0,0,242,0,0,0,0,0,0,56003.3,0.20037389,4.990670193
Tanaman Perkebunan Lainnya,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,25437.35313,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,25679.35313,1.023938479,0.976621174
Ternak dan Hasil-Hasilnya,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,242,0.000825319,1211.652893
