Padi,Pertanian kehutanan dan perikanan
Jagung,Pertanian kehutanan dan perikanan
Tanaman umbi-umbian,Pertanian kehutanan dan perikanan
Kacang-kacangan,Pertanian kehutanan dan perikanan
Sayur-sayuran dan buah-buahan,Pertanian kehutanan dan perikanan
Padi-padian dan tabama lainnya,Pertanian kehutanan dan perikanan
Karet,Pertanian kehutanan dan perikanan
Kelapa,Pertanian kehutanan dan perikanan
Kelapa sawit,Pertanian kehutanan dan perikanan
Kopi,Pertanian kehutanan dan perikanan
Teh,Pertanian kehutanan dan perikanan
Cengkeh,Pertanian kehutanan dan perikanan
Kakao,Pertanian kehutanan dan perikanan
Hasil pertanian lainnya,Pertanian kehutanan dan perikanan
Ternak dan hasil2nya,Pertanian kehutanan dan perikanan
"Unggas, hewan lainnya dan hasil2nya",Pertanian kehutanan dan perikanan
Kayu,Pertanian kehutanan dan perikanan
Hasil hutan dan perburuan lainnya,Pertanian kehutanan dan perikanan
Perikanan laut dan hasil laut lainnya,Pertanian kehutanan dan perikanan
Perikanan darat dan hasil perikanan darat,Pertanian kehutanan dan perikanan
Pertambangan batu bara dan mineral logam,Pertambangan dan penggalian
Pertambangan dan penggalian lainnya,Pertambangan dan penggalian
Industri penggilingan dan penyosohan padi dan kopi,Industri pengolahan
Industri makanan lainnya,Industri pengolahan
"Industri tekstil, brg kulit dan alas kaki",Industri pengolahan
"Industri barang kayu, hasil hutan lainnya",Industri pengolahan
Industri kertas dan barang cetakan,Industri pengolahan
"Industri pupuk, kimia & barang dari karet",Industri pengolahan
Industri semen & barang galian bukan logam,Industri pengolahan
"Industri alat angkutan, mesin & peralatannya",Industri pengolahan
Industri Barang lainnya,Industri pengolahan
"Listrik , gas dan air bersih",Pengadaan listrik dan gas
Bangunan,Real Estat
Perdagangan,Perdagangan besar dan eceran reparasi mobil dan sepeda motor
Hotel dan Restoran,Penyediaan Akomodasi dan Makan Minum
Angkutan darat,Transportasi dan Pergudangan 
"Angkutan laut, sungai dan danau",Transportasi dan Pergudangan 
Angkutan udara,Transportasi dan Pergudangan 
Jasa penunjang angkutan,Jasa Perusahaan
Komunikasi,Informasi dan Komunikasi 
Bank dan lembaga keuangan lainnya,Jasa Keuangan dan Asuransi
Pemerintahan,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib"
Jasa pendidikan dan kesehatan,Jasa Pendidikan
Jasa lainnya,Jasa lainnya
Kegiatan yang tak jelas batasannya,Jasa lainnya
