ID,Sektor,Labour
1,Padi,97582
2,Jagung,13152
3,Tanaman umbi-umbian,22530
4,Kacang-kacangan,57264
5,Sayur-sayuran dan buah-buahan,13795
6,Padi-padian dan tabama lainnya,0
7,Karet,98677
8,Kelapa,4739
9,Kelapa sawit,127674
10,Kopi,136
11,Teh,87747
12,Cengkeh,6980
13,Kakao,22664
14,Hasil pertanian lainnya,10484
15,Ternak dan hasil2nya,2361
16,"Unggas, hewan lainnya dan hasil2nya",35476
17,Kayu,9996
18,Hasil hutan dan perburuan lainnya,84345
19,Perikanan laut dan hasil laut lainnya,17707
20,Perikanan darat dan hasil perikanan darat,448
21,Pertambangan batu bara dan mineral logam,187
22,Pertambangan dan penggalian lainnya,4971
23,Industri penggilingan dan penyosohan padi dan kopi,448
24,Industri makanan lainnya,0
25,"Industri tekstil, brg kulit dan alas kaki",511
26,"Industri barang kayu, hasil hutan lainnya",22573
27,Industri kertas dan barang cetakan,0
28,"Industri pupuk, kimia & barang dari karet",0
29,Industri semen & barang galian bukan logam,472
30,"Industri alat angkutan, mesin & peralatannya",609
31,Industri Barang lainnya,141
32,"Listrik , gas dan air bersih",3094
33,Bangunan,27849
34,Perdagangan,115163
35,Hotel dan Restoran,3452
36,Angkutan darat,7167
37,"Angkutan laut, sungai dan danau",8734
38,Angkutan udara,216
39,Jasa penunjang angkutan,8325
40,Komunikasi,313
41,Bank dan lembaga keuangan lainnya,4126
42,Pemerintahan,103190
43,Jasa pendidikan dan kesehatan,3818
44,Jasa lainnya,2325
45,Kegiatan yang tak jelas batasannya,0
