ID,Sektor,Total_Cons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
1,Padi,5.756666213,0,0,0,0,1.003463465,2.181945994,0,2.53330555,0,0,0,0,0,0,0.00022067,0.002029025,0,0,0.035701509,0,0,0,0,0,0,0
2,Jagung,1.098634021,0,0,0,0,0.191506518,0.416414642,0,0.483470043,0,0,0,0,0,0,4.21139E-05,0.00038723,0,0,0.006813473,0,0,0,0,0,0,0
3,Tanaman umbi-umbian,2.173471091,0,0,0,0,0.378864911,0.823809539,0,0.956467888,0,0,0,0,0,0,8.33156E-05,0.000766073,0,0,0.013479364,0,0,0,0,0,0,0
4,Kacang-kacangan,4.72926196,0,0,0,0,0.824373242,1.792529531,0,2.081181212,0,0,0,0,0,0,0.000181287,0.001666901,0,0,0.029329786,0,0,0,0,0,0,0
5,Sayur-sayuran dan buah-buahan,0.891088208,0,0,0,0,0.155328523,0.337748668,0,0.392136459,0,0,0,0,0,0,3.4158E-05,0.000314078,0,0,0.005526322,0,0,0,0,0,0,0
6,Padi-padian dan tabama lainnya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Karet,2.076280351,0,0,0,0,0.361923273,0.786971387,0,0.913697675,0,0,0,0,0,0,7.959E-05,0.000731817,0,0,0.012876609,0,0,0,0,0,0,0
8,Kelapa,0.308132587,0,0,0,0,0.053711607,0.116791323,0,0.135598272,0,0,0,0,0,0,1.18116E-05,0.000108606,0,0,0.001910967,0,0,0,0,0,0,0
9,Kelapa sawit,6.038096774,0,0,0,0,1.052520553,2.288616463,0,2.657153203,0,0,0,0,0,0,0.000231458,0.00212822,0,0,0.037446876,0,0,0,0,0,0,0
10,Kopi,0.005646251,0,0,0,0,0.000984217,0.002140095,0,0.002484716,0,0,0,0,0,0,2.16437E-07,1.99011E-06,0,0,3.50167E-05,0,0,0,0,0,0,0
11,T e h,3.636760157,0,0,0,0,0.633935652,1.37843918,0,1.600409742,0,0,0,0,0,0,0.000139408,0.001281832,0,0,0.022554343,0,0,0,0,0,0,0
12,Cengkeh,0.388752084,0,0,0,0,0.067764657,0.147348486,0,0.171076066,0,0,0,0,0,0,1.4902E-05,0.000137022,0,0,0.00241095,0,0,0,0,0,0,0
13,Kakao,1.939735767,0,0,0,0,0.338121736,0.735216969,0,0.853609225,0,0,0,0,0,0,7.43558E-05,0.00068369,0,0,0.012029791,0,0,0,0,0,0,0
14,Hasil pertanian lainnya,1.060019668,0,0,0,0,0.184775523,0.401778666,0,0.46647723,0,0,0,0,0,0,4.06337E-05,0.00037362,0,0,0.006573996,0,0,0,0,0,0,0
15,Ternak dan hasil2nya,0.183159371,0,0,0,0,0.031927114,0.069422795,0,0.080601972,0,0,0,0,0,0,7.02104E-06,6.45573E-05,0,0,0.001135912,0,0,0,0,0,0,0
16,"Unggas, hewan lainnya dan hasil2nya",2.910246373,0,0,0,0,0.507294639,1.103069065,0,1.280696676,0,0,0,0,0,0,0.000111558,0.001025761,0,0,0.018048673,0,0,0,0,0,0,0
