ID,Sektor,Total,Padat_Ditimbun_di_TPA ,Padat_Kompos,Padat_R3,Padat_waste_to_energy,Padat_dibakar_terbuka,Padat_tidak_terkelola ,Cair_septic_tank,Cair_MCK_plus,Cair_IPAL_Aerob,Cair_IPAL_Anaerob,Cair_tidak_terkelola,Cair_Biogas,Cair_Pengolahan_KIMIA,Cair_R3
1,Padi,1256881.748,0,393950.4975,0,0,393950.4975,462735.505,0,0,0,4371.6736,1873.5744,0,0,0
2,Jagung,75407.32,0,0,22369.6776,0,0,52195.9144,0,0,0,589.2096,252.5184,0,0,0
3,Tanaman umbi-umbian,24985.32,0,0,7063.02,0,0,16480.38,0,0,0,1009.344,432.576,0,0,0
4,Kacang-kacangan,4967.946,0,0,390.915,0,0,912.135,0,0,0,2565.4272,1099.4688,0,0,0
5,Sayur-sayuran dan buah-buahan,18426.58,0,0,5263.11,0,0,12280.59,0,0,0,618.016,264.864,0,0,0
6,Padi-padian dan tabama lainnya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Karet,8471.078,0,0,646.725,0,0,1509.025,0,0,0,4420.7296,1894.5984,0,0,0
8,Kelapa,7449.4,0,0,0,0,0,4162.9,0,0,0,985.95,2300.55,0,0,0
9,Kelapa sawit,81920.135,0,0,15056.4675,0,0,15056.4675,0,0,0,21512.9398,30294.2602,0,0,0
10,Kopi,18553.454,0,0,5563.425,0,0,12981.325,0,0,0,6.0928,2.6112,0,0,0
11,T e h,5953.728,0,0,168.96,0,0,168.96,0,0,0,3931.0656,1684.7424,0,0,0
12,Cengkeh,488.48,0,0,20.88,0,0,20.88,0,0,0,312.704,134.016,0,0,0
13,Kakao,1909.376,0,0,229.44,0,0,229.44,0,0,0,1015.3472,435.1488,0,0,0
14,Hasil pertanian lainnya,5488.256,0,0,2408.64,0,0,2408.64,0,0,0,469.6832,201.2928,0,0,0
15,Ternak dan hasil2nya,29608.75,0,0,0,0,0,0,0,0,0,0,29608.75,0,0,0
16,"Unggas, hewan lainnya dan hasil2nya",3114.6313,0,0,253.25019,0,0,590.91711,0,0,0,1589.3248,681.1392,0,0,0
17,Kayu,11052.21138,0,0,2967.553203,0,0,7444.914177,0,0,0,447.8208,191.9232,0,0,0
18,Hasil hutan dan perburuan lainnya,5581.92285,0,0,55.152855,0,0,128.689995,0,0,0,3778.656,1619.424,0,0,0
19,Perikanan laut dan hasil laut lainnya,2059.111048,0,0,462.931524,0,0,462.931524,0,0,0,793.2736,339.9744,0,0,0
20,Perikanan darat dan hasil perikanan darat,389.69068,0,0,180.50934,0,0,180.50934,0,0,0,20.0704,8.6016,0,0,0
21,Pertambangan batu bara dan mineral logam,93.6397408,0,0,40.8358704,0,0,40.8358704,0,0,0,8.3776,3.5904,0,0,0
22,Pertambangan dan penggalian lainnya,318.144,0,0,0,0,0,0,0,0,0,222.7008,95.4432,0,0,0
23,Ind. penggilingan dan penyosohan padi dan kopi,29.15584,0.48384,0,0,0,0,0,0,0,0,20.0704,8.6016,0,0,0
24,Ind. makanan lainnya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"Ind. tekstil, brg kulit dan alas kaki",33.25588,0.55188,0,0,0,0,0,0,0,0,22.8928,9.8112,0,0,0
26,"Ind. barang kayu, hasil hutan lainnya",1469.05084,24.37884,0,0,0,0,0,0,0,0,1011.2704,433.4016,0,0,0
27,Ind. kertas dan barang cetakan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"Ind. pupuk, kimia & barang dari karet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Ind. semen & barang galian bukan logam,30.71776,0.50976,0,0,0,0,0,0,0,0,21.1456,9.0624,0,0,0
30,"Ind. alat angkutan, mesin & peralatannya",39.63372,0.65772,0,0,0,0,0,0,0,0,27.2832,11.6928,0,0,0
31,Ind. Barang lainnya,9.17628,0.15228,0,0,0,0,0,0,0,0,6.3168,2.7072,0,0,0
32,"Listrik , gas dan air bersih",0.625975649,0,0.004679051,0.612141933,0,0,0.009154665,0,0,0,0,0,0,0,0
33,Bangunan,1812.41292,30.07692,0,0,0,0,0,0,0,0,1247.6352,534.7008,0,0,0
34,Perdagangan,7494.80804,124.37604,0,0,0,0,0,0,0,0,5159.3024,2211.1296,0,0,0
35,Hotel dan Restoran,220.928,0,0,0,0,0,0,0,0,0,154.6496,66.2784,0,0,0
36,Angkutan darat,692.77716,234.08916,0,0,0,0,0,0,0,0,321.0816,137.6064,0,0,0
37,"Angkutan laut, sungai dan danau",558.976,0,0,0,0,0,0,0,0,0,391.2832,167.6928,0,0,0
38,Angkutan udara,18.51348,4.68948,0,0,0,0,0,0,0,0,9.6768,4.1472,0,0,0
39,Jasa penunjang angkutan,541.791,8.991,0,0,0,0,0,0,0,0,372.96,159.84,0,0,0
40,Komunikasi,31.45024,0.33804,0,0,0,0,0,15.5561,0,0,10.8924,4.6637,0,0,0
41,Bank dan lembaga keuangan lainnya,268.56134,2.22804,0,0.4126,0,0.90772,0.94898,0,0,0,184.8448,79.2192,0,0,0
42,Pemerintahan,6716.6371,55.7226,0,10.319,0,22.7018,23.7337,0,0,0,4622.912,1981.248,0,0,0
43,Jasa pendidikan dan kesehatan,248.51362,2.06172,0,0.3818,0,0.83996,0.87814,0,0,0,171.0464,73.3056,0,0,0
44,Jasa lainnya,149.61375,0.4185,0,0.06975,0,0.16275,0.16275,0,0,0,104.16,44.64,0,0,0
45,Kegiatan yang tak jelas batasannya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
