Year,Population,,,,,,,,,,,,,,,,,,,,,,,,
2010,1722100,,,,,,,,,,,,,,,,,,,,,,,,
2011,1752660,,,,,,,,,,,,,,,,,,,,,,,,
2012,1783220,,,,,,,,,,,,,,,,,,,,,,,,
2013,1813780,,,,,,,,,,,,,,,,,,,,,,,,
2014,1844340,,,,,,,,,,,,,,,,,,,,,,,,
2015,1874900,,,,,,,,,,,,,,,,,,,,,,,,
2016,1903880,,,,,,,,,,,,,,,,,,,,,,,,
2017,1932860,,,,,,,,,,,,,,,,,,,,,,,,
2018,1961840,,,,,,,,,,,,,,,,,,,,,,,,
2019,1990820,,,,,,,,,,,,,,,,,,,,,,,,
2020,2019800,,,,,,,,,,,,,,,,,,,,,,,,
2021,2045940,,,,,,,,,,,,,,,,,,,,,,,,
2022,2072080,,,,,,,,,,,,,,,,,,,,,,,,
2023,2098220,,,,,,,,,,,,,,,,,,,,,,,,
2024,2124360,,,,,,,,,,,,,,,,,,,,,,,,
2025,2150500,,,,,,,,,,,,,,,,,,,,,,,,
2026,2173260,,,,,,,,,,,,,,,,,,,,,,,,
2027,2196020,,,,,,,,,,,,,,,,,,,,,,,,
2028,2218780,,,,,,,,,,,,,,,,,,,,,,,,
2029,2241540,,,,,,,,,,,,,,,,,,,,,,,,
2030,2264300,,,,,,,,,,,,,,,,,,,,,,,,
2031,2283560,,,,,,,,,,,,,,,,,,,,,,,,
2032,2302820,,,,,,,,,,,,,,,,,,,,,,,,
2033,2322080,,,,,,,,,,,,,,,,,,,,,,,,
2034,2341340,,,,,,,,,,,,,,,,,,,,,,,,
2035,2360600,,,,,,,,,,,,,,,,,,,,,,,,
