Sektor,Kategori,Hutan lahan kering primer,Hutan lahan kering sekunder / bekas tebangan,Hutan rawa primer,Hutan rawa sekunder,Hutan mangrove primer,Hutan mangrove sekunder,Hutan tanaman,Perkebunan,Semak belukar,Semak belukar rawa,Savanna / Padang rumput,Pertanian lahan kering,Pertanian lahan kering  campur semak / kebun campur,Sawah,Tambak,Pemukiman,Transmigrasi,Lahan terbuka,Pertambangan,Tubuh air,Rawa,Awan,Bandara,Total kebutuhan lahan,LRC,LPC
Padi,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,0,0,0,0,0,0,57644,0,0,0,0,0,0,0,0,0,57644,0.135974894,7.3542988
Jagung,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,0,0,0,0,4242.3,0,0,0,0,0,0,0,0,0,0,0,4242.3,0.05243533,19.07111119
Tanaman umbi-umbian,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,0,0,0,0,4242.3,0,0,0,0,0,0,0,0,0,0,0,4242.3,0.026504717,37.72913278
Kacang-kacangan,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,0,0,0,0,4242.3,0,0,0,0,0,0,0,0,0,0,0,4242.3,0.012181021,82.09492787
Sayur-sayuran dan buah-buahan,Pertanian kehutanan dan perikanan,0,1145.041708,0,0,0,0,0,10858.57846,0,0,0,4242.3,476436.6,0,0,0,0,0,0,0,0,0,0,492682.5202,7.507963038,0.133191918
Padi-padian dan tanaman lainnya,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,748.7885086,0,283.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1032.588509,0,0
Karet,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,30976.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30976.2,0.202589911,4.936079958
Kelapa,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,0,0,0,0,0,79406.1,0,0,0,0,0,0,0,0,0,0,79406.1,3.499386443,0.285764381
Kelapa sawit,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,117216.3543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117216.3543,0.26361117,3.793465961
Kopi,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,20650.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20650.8,49.66522367,0.020134813
Teh,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,20650.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20650.8,0.077107725,12.96886924
Cengkeh,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,0,0,0,0,0,39703.05,0,0,0,0,0,0,0,0,0,0,39703.05,1.386841437,0.721062966
Kakao,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,0,0,0,0,0,39703.05,0,0,0,0,0,0,0,0,0,0,39703.05,0.277943784,3.59784985
Hasil pertanian lainnya,Pertanian kehutanan dan perikanan,0,696.3867126,0,0,0,0,0,5406.478564,0,0,0,25453.8,158812.2,0,0,0,0,0,0,0,0,0,0,190368.8653,2.438696,0.41005521
Ternak dan hasil2nya,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unggas, hewan lainnya dan hasil2nya",Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kayu,Pertanian kehutanan dan perikanan,11073.9774,37674.31805,0,0,16.45189946,208.3422173,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49981.08957,0.893385722,1.119337343
Hasil hutan dan perburuan lainnya,Pertanian kehutanan dan perikanan,46714,41880,0,0,69.4,231.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88895,0.375703124,2.66167603
Perikanan laut dan hasil laut lainnya,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1254,0,0,0,1254,0.039805862,25.12192796
