Padi,Pertanian Kehutanan dan Perikanan
Jagung,Pertanian Kehutanan dan Perikanan
Ketela Pohon,Pertanian Kehutanan dan Perikanan
Ketela Rambat,Pertanian Kehutanan dan Perikanan
Kacang Tanah,Pertanian Kehutanan dan Perikanan
Kacang Kedelai,Pertanian Kehutanan dan Perikanan
Kentang,Pertanian Kehutanan dan Perikanan
Sayur-sayuran,Pertanian Kehutanan dan Perikanan
Buah-buahan,Pertanian Kehutanan dan Perikanan
Tanaman bahan makanan lainnya,Pertanian Kehutanan dan Perikanan
Karet,Pertanian Kehutanan dan Perikanan
Kopi,Pertanian Kehutanan dan Perikanan
Kelapa Sawit,Pertanian Kehutanan dan Perikanan
Kelapa Dalam,Pertanian Kehutanan dan Perikanan
Kayu Manis,Pertanian Kehutanan dan Perikanan
Pinang,Pertanian Kehutanan dan Perikanan
Tanaman perkebunan lainnya,Pertanian Kehutanan dan Perikanan
Ternak besar dan hasil-hasilnya,Pertanian Kehutanan dan Perikanan
Ternak kecil dan hasil-hasilnya,Pertanian Kehutanan dan Perikanan
Ayam buras,Pertanian Kehutanan dan Perikanan
Ayam Ras,Pertanian Kehutanan dan Perikanan
Unggas lainnya,Pertanian Kehutanan dan Perikanan
Telur,Pertanian Kehutanan dan Perikanan
Kayu Bulat,Pertanian Kehutanan dan Perikanan
Hasil hutan lainnya,Pertanian Kehutanan dan Perikanan
Udang,Pertanian Kehutanan dan Perikanan
Perikanan laut lainnya,Pertanian Kehutanan dan Perikanan
Perairan Umum,Pertanian Kehutanan dan Perikanan
Budidaya,Pertanian Kehutanan dan Perikanan
Pertambangan migas,Pertambangan dan Penggalian 
Pertambangan non migas,Pertambangan dan Penggalian 
Penggalian,Pertambangan dan Penggalian 
Industri Pengilangan Migas,Pertambangan dan Penggalian 
Industri Minyak Kelapa,Industri Pengolahan
Industri CPO,Industri Pengolahan
"Industri penggilingan, Padi, Biji-bijian dan tepung",Industri Pengolahan
Industri makanan lainnya,Industri Pengolahan
Industri minuman,Industri Pengolahan
"Industri tekstil, barang dari kulit dan alas kaki",Industri Pengolahan
Industri penggergajian dan pengolahan kayu,Industri Pengolahan
Industri kayu lapis dan sejenisnya,Industri Pengolahan
Industri bahan dan perabot dari kayu,Industri Pengolahan
Industri karet dan barang dari karet dan barang plastik,Industri Pengolahan
Industri Kertas dan barang dari kertas,Industri Pengolahan
Industri Kimia,Industri Pengolahan
Industri pupuk,Industri Pengolahan
Industri barang mineral bukan logam,Industri Pengolahan
"Industri barang dari logam, mesin-mesin dan peralatannya",Industri Pengolahan
Industri barang lainnya,Industri Pengolahan
Listrik,Pengadaan Listrik Gas
Air Minum,Pengadaan Air Pengelolaan Sampah Limbah dan Daur
Bangunan,Konstruksi
Perdagangan,Perdagangan Besar dan Eceran Reparasi Mobil dan Sepeda Motor
Hotel,Perdagangan Besar dan Eceran Reparasi Mobil dan Sepeda Motor
Restoran,Perdagangan Besar dan Eceran Reparasi Mobil dan Sepeda Motor
Angkutan jalan raya,Transportasi dan Pergudangan 
Angkutan laut,Transportasi dan Pergudangan 
Angkutan sungai dan danau,Transportasi dan Pergudangan 
Angkutan udara,Transportasi dan Pergudangan 
Jasa penunjang Angkutan,Transportasi dan Pergudangan 
Komunikasi,Informasi dan Komunikasi 
Bank,Jasa Keuangan dan Asuransi
Asuransi,Jasa Keuangan dan Asuransi
Lembaga Keuangan,Jasa Keuangan dan Asuransi
Jasa persewaan,Jasa Perusahaan
Jasa perusahaan,Jasa Perusahaan
Pemerintahan Umum dan pertahanan,Administrasi Pemerintahan Pertahanan dan Jaminan
Jasa Sosial Kemasyarakatan,Jasa Kesehatan dan Kegiatan Sosial
Jasa lainnya,Jasa lainnya
Kegiatan yang tidak jelas batasannya,Jasa lainnya
