ID,Sektor,Total_Cons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
1,Padi,10.26553014,0,0,0,0,1.789418399,3.890938181,0,4.517497368,0,0,0,0,0,0,0.000393508,0.003618244,0,0,0.063664438,0,0,0,0,0,0,0
2,Jagung,2.231565823,0,0,0,0,0.388991595,0.845829153,0,0.982033329,0,0,0,0,0,0,8.55E-05,0.00078655,0,0,0.013839654,0,0,0,0,0,0,0
3,Ketela Pohon,1.231550842,0,0,0,0,0.214675687,0.466794031,0,0.541962043,0,0,0,0,0,0,4.72E-05,0.000434079,0,0,0.007637793,0,0,0,0,0,0,0
4,Ketela Rambat,0.709836667,0,0,0,0,0.123733969,0.269048997,0,0.312374055,0,0,0,0,0,0,2.72E-05,0.000250193,0,0,0.004402242,0,0,0,0,0,0,0
5,Kacang Tanah,0.372331905,0,0,0,0,0.064902402,0.141124755,0,0.163850125,0,0,0,0,0,0,1.43E-05,0.000131234,0,0,0.002309116,0,0,0,0,0,0,0
6,Kacang Kedelai,0.686422847,0,0,0,0,0.119652629,0.26017447,0,0.302070459,0,0,0,0,0,0,2.63E-05,0.00024194,0,0,0.004257035,0,0,0,0,0,0,0
7,Kentang,3.102154376,0,0,0,0,0.540746756,1.175807848,0,1.365148613,0,0,0,0,0,0,0.000118915,0.001093402,0,0,0.019238842,0,0,0,0,0,0,0
8,Sayur-sayuran,9.456628346,0,0,0,0,1.648416061,3.584340584,0,4.161528249,0,0,0,0,0,0,0.0003625,0.003333134,0,0,0.058647816,0,0,0,0,0,0,0
9,Buah-buahan,11.16014242,0,0,0,0,1.945361216,4.230022578,0,4.911184649,0,0,0,0,0,0,0.000427801,0.003933564,0,0,0.069212616,0,0,0,0,0,0,0
10,Tanaman bahan makanan lainnya,0.747655885,0,0,0,0,0.130326362,0.283383595,0,0.329016958,0,0,0,0,0,0,2.87E-05,0.000263523,0,0,0.004636788,0,0,0,0,0,0,0
11,Karet,33.21505115,0,0,0,0,5.789825062,12.58948237,0,14.61677129,0,0,0,0,0,0,0.001273231,0.011707155,0,0,0.205992046,0,0,0,0,0,0,0
12,Kopi,5.568416174,0,0,0,0,0.97064898,2.110593686,0,2.450463354,0,0,0,0,0,0,0.000213454,0.001962674,0,0,0.034534026,0,0,0,0,0,0,0
13,Kelapa Sawit,16.79129292,0,0,0,0,2.926945622,6.364394419,0,7.389255162,0,0,0,0,0,0,0.00064366,0.005918349,0,0,0.104135706,0,0,0,0,0,0,0
14,Kelapa Dalam,1.475213243,0,0,0,0,0.257149283,0.559149255,0,0.649189263,0,0,0,0,0,0,5.65E-05,0.000519962,0,0,0.00914893,0,0,0,0,0,0,0
15,Kayu Manis,11.22948727,0,0,0,0,1.957448944,4.256306316,0,4.941700867,0,0,0,0,0,0,0.000430459,0.003958005,0,0,0.069642676,0,0,0,0,0,0,0
16,Pinang,0.137321007,0,0,0,0,0.023936877,0.052048705,0,0.060430127,0,0,0,0,0,0,5.26E-06,4.84E-05,0,0,0.000851633,0,0,0,0,0,0,0
17,Tanaman perkebunan lainnya,2.185019979,0,0,0,0,0.380878036,0.828186908,0,0.961550146,0,0,0,0,0,0,8.38E-05,0.000770144,0,0,0.013550987,0,0,0,0,0,0,0
18,Ternak besar dan hasil-hasilnya,1.201701243,0,0,0,0,0.209472505,0.455480154,0,0.528826289,0,0,0,0,0,0,4.61E-05,0.000423558,0,0,0.007452672,0,0,0,0,0,0,0
