ID,Sektor,Total,Padat_Ditimbun_di_TPA ,Padat_Kompos,Padat_R3,Padat_waste_to_energy,Padat_dibakar_terbuka,Padat_tidak_terkelola ,Cair_septic_tank,Cair_MCK_plus,Cair_IPAL_Aerob,Cair_IPAL_Anaerob,Cair_tidak_terkelola,Cair_Biogas,Cair_Pengolahan_KIMIA,Cair_R3
1,Padi,1724784.896,0,542969.28,0,0,542969.28,637773.44,0,0,0,751.0272,321.8688,0,0,0
2,Jagung,88392.672,0,0,26448.6624,0,0,61713.5456,0,0,0,161.3248,69.1392,0,0,0
3,Ketela pohon ,6846.716,0,0,2015.73,0,0,4703.37,0,0,0,89.3312,38.2848,0,0,0
4,Ketela rambat ,5478.002,0,0,1636.335,0,0,3818.115,0,0,0,16.4864,7.0656,0,0,0
5,Kacang tanah ,388.418,0,0,112.455,0,0,262.395,0,0,0,9.4976,4.0704,0,0,0
6,Kacang Kedelai ,687.678,0,0,194.265,0,0,453.285,0,0,0,28.0896,12.0384,0,0,0
7,Kentang,8466.766,0,0,2490.705,0,0,5811.645,0,0,0,115.0912,49.3248,0,0,0
8,Sayur-sayuran,28298.468,0,0,8381.79,0,0,19557.51,0,0,0,251.4176,107.7504,0,0,0
9,Buah-buahan,39058.62,0,0,11587.41,0,0,27037.29,0,0,0,303.744,130.176,0,0,0
10,Tanaman Bahan Makanan Lainnya ,117.284,0,0,25.47,0,0,59.43,0,0,0,22.6688,9.7152,0,0,0
11,Karet,14965.006,0,0,4102.545,0,0,9572.605,0,0,0,902.8992,386.9568,0,0,0
12,Kopi,4558.102,0,0,1257.165,0,0,2933.385,0,0,0,257.2864,110.2656,0,0,0
13,Kelapa sawit ,1309654.5,0,0,240707.25,0,0,240707.25,0,0,0,343926.66,484313.34,0,0,0
14,Kelapa dalam ,79192.12,0,0,0,0,0,44254.42,0,0,0,10481.31,24456.39,0,0,0
15,Kayu manis ,9911.01,0,0,2746.935,0,0,6409.515,0,0,0,528.192,226.368,0,0,0
16,Pinang,1291.824,0,0,384.84,0,0,897.96,0,0,0,6.3168,2.7072,0,0,0
17,Tanaman perkebunan lainnya ,4518.56,0,0,2184.72,0,0,2184.72,0,0,0,104.384,44.736,0,0,0
18,Ternak besar dan hasil-hasilnya,29669.4,0,0,0,0,0,4944.9,0,0,0,0,24724.5,0,0,0
19,Ternak kecil dan hasil-hasilnya ,927.7972,0,0,300.479775,0,0,300.479775,0,0,0,0,326.83765,0,0,0
20,Ayam buras ,756.34665,0,0,177.483195,0,0,414.127455,0,0,0,115.3152,49.4208,0,0,0
21,Ayam ras ,1352.48135,0,0,328.291605,0,0,766.013745,0,0,0,180.7232,77.4528,0,0,0
22,Unggas lainnya ,255.95165,0,0,25.771095,0,0,60.132555,0,0,0,119.0336,51.0144,0,0,0
23,Telur,166.7971584,0,0,4.997480229,0,0,11.6607872,0,0,0,0,150.138891,0,0,0
24,Kayu bulat ,55105.6289,0,0,15503.2604,0,0,38894.1445,0,0,0,495.7568,212.4672,0,0,0
