Sektor,Kategori,Hutan lahan kering primer,Hutan lahan kering sekunder / bekas tebangan,Hutan rawa primer,Hutan rawa sekunder,Hutan mangrove primer,Hutan mangrove sekunder,Hutan tanaman,Perkebunan,Semak belukar,Semak belukar rawa,Savanna / Padang rumput,Pertanian lahan kering,Pertanian lahan kering  campur semak / kebun campur,Sawah,Tambak,Pemukiman,Transmigrasi,Lahan terbuka,Pertambangan,Tubuh air,Rawa,Awan,Bandara,Total kebutuhan lahan,LRC,LPC
Padi,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,21445.6,0,0,0,17092,0,0,0,0,0,0,1634.2,0,0,40171.8,0.053139269,18.81847482
Jagung,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,9866.6,0,0,0,0,2186.8,0,0,0,0,0,0,12053.4,0.073345848,13.63403687
Ketela Pohon,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,9866.6,0,0,0,0,2186.8,0,0,0,0,0,0,12053.4,0.132902421,7.524317417
Ketela Rambat,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,9866.6,0,0,0,0,2186.8,0,0,0,0,0,0,12053.4,0.230582747,4.336837923
Kacang Tanah,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,51267.43621,0,0,0,9866.6,0,0,0,0,2186.8,0,0,0,0,0,0,63320.83621,2.309362225,0.433019987
Kacang Kedelai,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,3535.312402,0,0,0,9866.6,0,0,0,0,2186.8,0,0,0,0,0,0,15588.7124,0.308385665,3.242692874
Kentang,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,146250.3,0,0,0,9866.6,0,0,0,0,2186.8,0,0,0,0,0,0,158303.7,0.692952279,1.443100817
Sayur-sayuran,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,9866.6,0,0,0,0,2186.8,0,0,0,0,0,0,12053.4,0.017308081,57.77648062
Buah-buahan,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,163421.73,0,0,0,0,720644,0,0,0,2186.8,0,0,0,0,0,0,886252.53,1.078359129,0.927334849
Tanaman bahan makanan lainnya,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,97500.2,0,0,0,29599.8,0,0,0,0,2186.8,0,0,0,0,0,0,129286.8,2.34816223,0.425864954
Karet,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,97500.2,0,0,0,0,144128.8,0,0,0,0,0,0,0,0,0,0,241629,0.098784726,10.12302247
Kopi,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,144128.8,0,0,0,0,0,0,0,0,0,0,144128.8,0.351475253,2.84515052
Kelapa Sawit,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,292500.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292500.6,0.236547461,4.227481427
Kelapa Dalam,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,25526.02036,0,0,0,0,144128.8,0,0,0,0,0,0,0,0,0,0,169654.8204,1.561662096,0.640343389
Kayu Manis,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,144128.8,0,0,0,0,0,0,0,0,0,0,144128.8,0.174287609,5.737642544
Pinang,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,144128.8,0,0,0,0,0,0,0,0,0,0,144128.8,14.25244781,0.070163386
Tanaman perkebunan lainnya,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,97500.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97500.2,0.605934614,1.650343084
Ternak besar dan hasil-hasilnya,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ternak kecil dan hasil-hasilnya,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8602,0,0,0,8602,0.194557787,5.139861092
Ayam buras,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8602,0,0,0,8602,0.03701772,27.01408923
Ayam Ras,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,0,2288.25,0.010874588,91.95751023
Unggas lainnya,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,0,2288.25,0.015750745,63.48906211
Telur,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288.25,0,0,0,0,0,0,0,2288.25,0.010904503,91.70523628
Kayu Bulat,Pertanian Kehutanan dan Perikanan,73910.24476,40656.36164,14085.5,9338.6,88.6,1269.2,48732.2,0,449173,193010.4,0,0,0,0,0,0,0,0,0,0,3268.4,0,0,833532.5064,1.154514908,0.866164649
Hasil hutan lainnya,Pertanian Kehutanan dan Perikanan,58031.2,57573.6,14085.5,9338.6,88.6,1269.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140386.7,2.282930114,0.438033558
Udang,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.4,0,0,0,0,0,0,0,0,62.4,0.000475206,2104.34981
Perikanan laut lainnya,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,194928.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194928.8,0.443751953,2.25351121
