 Tanaman Bahan Makanan ,Pertanian Kehutanan dan Perikanan
 Tanaman Perkebunan ,Pertanian Kehutanan dan Perikanan
 Peternakan dan Hasil-hasilnya ,Pertanian Kehutanan dan Perikanan
 Kehutanan ,Pertanian Kehutanan dan Perikanan
 Perikanan ,Pertanian Kehutanan dan Perikanan
 Minyak dan Gas Bumi ,Pertambangan dan Penggalian 
 Pertambangan dan penggalian lainnya ,Pertambangan dan Penggalian 
" Industri Makanan, Minuman dan Tembakau ",Industri Pengolahan
" Industri Tekstil, Brg. Kulit & Alas kaki ",Industri Pengolahan
 Industri Brg. Kayu & Hasil Hutan lainnya ,Industri Pengolahan
 Industri Kertas dan Barang Cetakan ,Industri Pengolahan
" Industri Pupuk, Kimia & Brg. dari Karet ",Industri Pengolahan
 Industri Semen & Brg. Galian bukan logam ,Industri Pengolahan
 Industri Logam Dasar Besi & Baja ,Industri Pengolahan
" Industri Alat Angk., Mesin & Peralatannya ",Industri Pengolahan
 Industri Barang lainnya ,Industri Pengolahan
 Listrik dan Gas ,Pengadaan Listrik Gas
 Air Bersih ,Pengadaan Air Pengelolaan Sampah Limbah dan Daur
 Bangunan ,Konstruksi
 Perdagangan Besar & Eceran ,Perdagangan Besar dan Eceran Reparasi Mobil dan Sepeda Motor
 Hotel dan Restoran    ,Penyediaan Akomodasi dan Makan Minum
 Angkutan Jalan Raya   ,Transportasi dan Pergudangan 
 Angkutan Laut ,Transportasi dan Pergudangan 
 Angkutan Udara ,Transportasi dan Pergudangan 
 Jasa Penunjang Angkutan ,Transportasi dan Pergudangan 
 Komunikasi ,Informasi dan Komunikasi 
 Bank dan Lembaga Keuangan tanpa Bank ,Jasa Keuangan dan Asuransi
 Sewa Bangunan dan Jasa Perusahaan ,Real Estat
 Pemerintahan Umum ,"Administrasi Pemerintahan, Pertahanan dan Jaminan"
 Jasa Sosial Kemasyarakatan ,Jasa Kesehatan dan Kegiatan Sosial
 Jasa Hiburan & Rekreasi ,Jasa Perusahaan
 Jasa Perorangan & Rumahtangga ,Jasa lainnya
