ID,Sektor,Labour
1, Tanaman Bahan Makanan ,7258
2, Tanaman Perkebunan ,8228
3, Peternakan dan Hasil-hasilnya ,8471
4, Kehutanan ,1134
5, Perikanan ,37250
6, Minyak dan Gas Bumi ,27769
7, Pertambangan dan penggalian lainnya ,13328
8," Industri Makanan, Minuman dan Tembakau ",1001
9," Industri Tekstil, Brg. Kulit & Alas kaki ",14237
10, Industri Brg. Kayu & Hasil Hutan lainnya ,30948
11, Industri Kertas dan Barang Cetakan ,2366
12," Industri Pupuk, Kimia & Brg. dari Karet ",34659
13, Industri Semen & Brg. Galian bukan logam ,26754
14, Industri Logam Dasar Besi & Baja ,28393
15," Industri Alat Angk., Mesin & Peralatannya ",77027
16, Industri Barang lainnya ,4848
17, Listrik dan Gas ,4943
18, Air Bersih ,185
19, Bangunan ,150192
20, Perdagangan Besar & Eceran ,104747
21, Hotel dan Restoran    ,54702
22, Angkutan Jalan Raya   ,16438
23, Angkutan Laut ,10176
24, Angkutan Udara ,10099
25, Jasa Penunjang Angkutan ,5569
26, Komunikasi ,6967
27, Bank dan Lembaga Keuangan tanpa Bank ,61292
28, Sewa Bangunan dan Jasa Perusahaan ,20412
29, Pemerintahan Umum ,0
30, Jasa Sosial Kemasyarakatan ,9394
31, Jasa Hiburan & Rekreasi ,7283
32, Jasa Perorangan & Rumahtangga ,19416
