ID,Sektor,Total_Cons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
1,Tanaman Bahan Makanan,3.34366261,0,0,0,0,0.582844852,1.26734658,0,1.47142786,0,0,0,0,0,0,0.000128172,0.001178525,0,0,0.02073662,0,0,0,0,0,0,0
2,Tanaman Perkebunan,2.752707262,0,0,0,0,0.479833477,1.043357103,0,1.211369276,0,0,0,0,0,0,0.000105519,0.000970234,0,0,0.017071652,0,0,0,0,0,0,0
3,Peternakan dan Hasil-hasilnya,25.20773417,0,0,0,0,4.394043241,9.554473467,0,11.0930338,0,0,0,0,0,0,0.000966287,0.008884853,0,0,0.156332523,0,0,0,0,0,0,0
4,Kehutanan,0.653508376,0,0,0,0,0.113915199,0.247698916,0,0.287585963,0,0,0,0,0,0,2.50509E-05,0.000230339,0,0,0.004052907,0,0,0,0,0,0,0
5,Perikanan,35.24593568,0,0,0,0,6.143835238,13.3592474,0,15.51049186,0,0,0,0,0,0,0.001351081,0.012422972,0,0,0.218587121,0,0,0,0,0,0,0
6,Minyak dan Gas Bumi,1325.326486,763.4857618,0.091187025,0,0,2.784962053,6.055663219,0,108.7062675,5.28649098,0,1.459320669,436.2672738,0,0,0.000612436,0.005631255,0,0,1.183314862,0,0,0,0,0,0,0
7,Pertambangan dan penggalian lainnya,215.7715198,124.3003026,0.014845823,0,0,0.453409406,0.985900207,0,17.6980667,0.86067411,0,0.237586619,71.0270667,0,0,9.97085E-05,0.000916804,0,0,0.192651131,0,0,0,0,0,0,0
8,"Industri Makanan, Minuman dan Tembakau",59.65560541,6.49343502,0.004325369,0,0,0.340797712,0.741035652,0,4.276712901,0.501261334,0,1.353495278,6.822010281,0,0,7.49443E-05,0.000689101,0,36.9088494,2.212918421,0,0,0,0,0,0,0
9,"Industri Tekstil, Brg. Kulit & Alas kaki",534.2784931,122.8303576,0.081819046,0,0,5.440830482,11.83062333,0,100.6546297,6.283641139,0,2.581753306,207.9670938,0,0,0.001196484,0.01100148,0,9.135341554,67.46020513,0,0,0,0,0,0,0
10,Industri Brg. Kayu & Hasil Hutan lainnya,7600.452563,8.112794189,1.640624727,0,0,284.0448359,617.6313475,0,612.163176,27.81264275,0,90.17672928,3485.158411,0,0,0.062463838,0.574344977,0,1342.562201,1130.512991,0,0,0,0,0,0,0
11,Industri Kertas dan Barang Cetakan,316.4736644,80.02552024,0.054226736,0,0,1.952441151,4.245417296,0,25.44039956,1.155843364,0,3.74758253,147.555945,0,0,0.000429358,0.003947879,0,4.4278279,47.86408338,0,0,0,0,0,0,0
12,"Industri Pupuk, Kimia & Brg. dari Karet",2141.04754,125.0985642,0.083329931,0,0,1.724689636,3.750190989,0,103.9328502,39.08021863,547.7337975,25.95780096,970.6973674,0,0,0.000379274,0.003487361,0,274.1500893,48.83477466,0,0,0,0,0,0,0
13,Industri Semen & Brg. Galian bukan logam,3082.507518,1677.063139,10.94266212,0,0,11.17440852,24.29780133,0,325.4448919,104.4398583,0,68.48007937,649.3037925,0,0,0.002457346,0.022594903,0,0.715171241,210.6206623,0,0,0,0,0,0,0
14,Industri Logam Dasar Besi & Baja,5857.463511,2833.287496,1.635120772,0,0,24.56591448,53.41649255,0,468.5711105,569.9190251,0,135.6193283,1336.761385,0,0,0.00540225,0.049672826,0,0.01493803,433.6176248,0,0,0,0,0,0,0
15,"Industri Alat Angk., Mesin & Peralatannya",4364.399065,307.4107103,0.204770641,0,0,40.36547246,87.77128818,0,78.17194045,3.773658456,0,82.89350675,2841.712344,0,0,0.008876705,0.081619883,0,0.2124243,921.7924535,0,0,0,0,0,0,0
16,Industri Barang lainnya,1762.61324,50.13141478,0.033393248,0,0,28.31819798,61.57551402,0,58.04141171,2.637017566,0,57.92565383,1003.456214,0,0,0.006227409,0.057260026,0,174.9305839,325.5003512,0,0,0,0,0,0,0
17,Listrik dan Gas,628.2846781,135.2229755,0,0,0,0.062060828,0.134945994,0,69.08312454,32.74870286,0,1.094813904,166.5738591,0,0,1.36477E-05,0.000125488,0,4.94496E-08,8.500759806,0,0,11.60465315,202.0483642,0,0,0
18,Air Bersih,33.20649128,7.146888528,0,0,0,0.003280077,0.007132249,0,3.651224123,1.730854745,0,0.057863783,8.803864859,0,0,7.21316E-07,6.63239E-06,0,2.61354E-09,0.449287427,0,0,0.613336322,10.6787854,0,0,0
19,Bangunan,8335.774995,0,0,0,0,217.7713542,473.5252957,0,624.946808,228.1351331,0,5794.246182,167.4469845,0,0,0.047889744,0.440338523,0,774.8986859,54.3163234,0,0,0,0,0,0,0
20,Perdagangan Besar & Eceran,1105.205289,0,0,0,0,157.2438099,341.9132965,0,107.7264657,24.93529822,0,66.23608441,12.76807265,0,0,0.034579231,0.317950482,0,33.05707512,360.9726569,0,0,0,0,0,0,0
21,Hotel dan Restoran   ,195.7618628,0,0,0,0,25.85267549,56.21444497,0,22.37185273,5.178382268,0,13.75543063,2.237693355,0,0,0.00568522,0.052274685,0,6.830459853,63.26296363,0,0,0,0,0,0,0
22,Angkutan Jalan Raya  ,11923.14164,0,0,0,0,11880.41772,0,0,0,0,0,0,18.70145331,0,0,0,24.02246892,0,0,0,0,0,0,0,0,0,0
23,Angkutan Laut,7963.723899,0,0,0,0,0,0,0,6774.071677,1186.723245,0,2.928977488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Angkutan Udara,9420.140399,0,0,0,0,0,0,9420.140399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Jasa Penunjang Angkutan,4814.172615,0,0,0,0,4796.922099,0,0,0,0,0,0,7.551032028,0,0,0,9.699483197,0,0,0,0,0,0,0,0,0,0
26,Komunikasi,23.0128933,0,0,0,0,15.58707428,0,0,0.729101465,0.168764123,0,0.448291196,0.206622255,0,0,0,0.031517411,0,0,5.841522562,0,0,0,0,0,0,0
27,Bank dan Lembaga Keuangan tanpa Bank,229.2202047,0,0,0,0,37.89222112,82.39341341,0,19.64720329,4.547711375,0,12.08016812,2.479353427,0,0,0.008332817,0.076618914,0,0.000124181,70.09505808,0,0,0,0,0,0,0
28,Sewa Bangunan dan Jasa Perusahaan,1.412392224,0,0,0,0,0.039821335,0.086588108,0,0.224202196,0.051895777,0,0.137851692,0.029730711,0,0,8.75705E-06,8.05196E-05,0,0.001681108,0.84053202,0,0,0,0,0,0,0
29,Pemerintahan Umum,223.034923,0,0,0,0,30.1840776,65.63271062,0,33.41999391,7.735680453,0,20.54842813,2.205717908,0,0,0.006637731,0.061032876,0,0.881674211,62.35896956,0,0,0,0,0,0,0
30,Jasa Sosial Kemasyarakatan,25.74253259,0,0,0,0,5.553948597,12.07658905,0,1.011232721,0.23406866,0,0.621760822,0.176750122,0,0,0.00122136,0.011230208,0,1.05873872,4.996992328,0,0,0,0,0,0,0
31,Jasa Hiburan & Rekreasi,39.21693293,0,0,0,0,5.89093469,12.80933666,0,1.527479722,0.35356365,0,0.939177529,0.597685286,0,0,0.001295466,0.011911601,0,0.188084504,16.89746382,0,0,0,0,0,0,0
32,Jasa Perorangan & Rumahtangga,37.32746914,0,0,0,0,5.607110664,12.19218545,0,1.453886062,0.336529026,0,0.893928148,0.568888931,0,0,0.001233051,0.011337702,0,0.179022631,16.08334747,0,0,0,0,0,0,0
