ID,SEKTOR,Total_Ec,Padat_Ditimbun_di_TPA ,Padat_Kompos,Padat_R3,Padat_waste_to_energy,Padat_dibakar_terbuka,Padat_tidak_terkelola ,Cair_septic_tank,Cair_MCK_plus,Cair_IPAL_Aerob,Cair_IPAL_Anaerob,Cair_tidak_terkelola,Cair_Biogas,Cair_Pengolahan_KIMIA,Cair_R3
1,Tanaman Bahan Makanan,458747.106,0,143451,864.7782,0,143451,170515.8158,0,0,0,325.1584,139.3536,0,0,0
2,Tanaman Perkebunan,532.72616,0,0,0.3033,0,0,5.83086,0,0,0,368.6144,157.9776,0,0,0
3,Peternakan dan Hasil-hasilnya,1059220.625,0,0,0,0,0,0,0,0,0,0,1059220.625,0,0,0
4,Kehutanan,73.7667,0.59535,0,0.107163,0,0.23814,0.250047,0,0,0,50.8032,21.7728,0,0,0
5,Perikanan,33786.86126,0,0,6322.132069,0,0,6322.132069,0,0,0,14799.81798,6342.779136,0,0,0
6,Minyak dan Gas Bumi,1806.37345,14.578725,0,2.6241705,0,5.83149,6.1230645,0,0,0,1244.0512,533.1648,0,0,0
7,Pertambangan dan penggalina lainnya,866.9864,6.9972,0,1.259496,0,2.79888,2.938824,0,0,0,597.0944,255.8976,0,0,0
8,"Industri Makanan, Minuman dan Tembakau",65.11505,0.525525,0,0.0945945,0,0.21021,0.2207205,0,0,0,44.8448,19.2192,0,0,0
9,"Industri Tekstil, Brg. Kulit & Alas kaki",926.11685,7.474425,0,1.3453965,0,2.98977,3.1392585,0,0,0,637.8176,273.3504,0,0,0
10,Industri Brg. Kayu & Hasil Hutan lainnya,2013.1674,16.2477,0,2.924586,0,6.49908,6.824034,0,0,0,1386.4704,594.2016,0,0,0
11,Industri Kertas dan Barang Cetakan,153.9083,1.24215,0,0.223587,0,0.49686,0.521703,0,0,0,105.9968,45.4272,0,0,0
12,"Industri Pupuk, Kimia & Brg. dari Karet",2254.56795,18.195975,0,3.2752755,0,7.27839,7.6423095,0,0,0,1552.7232,665.4528,0,0,0
13,Industri Semen & Brg. Galian bukan logam,1740.3477,14.04585,0,2.528253,0,5.61834,5.899257,0,0,0,1198.5792,513.6768,0,0,0
14,Industri Logam Dasar Besi & Baja,1846.96465,14.906325,0,2.6831385,0,5.96253,6.2606565,0,0,0,1272.0064,545.1456,0,0,0
15,"Industri Alat Angk., Mesin & Peralatannya",5010.60635,40.439175,0,7.2790515,0,16.17567,16.9844535,0,0,0,3450.8096,1478.9184,0,0,0
16,Industri Barang lainnya,315.3624,2.5452,0,0.458136,0,1.01808,1.068984,0,0,0,217.1904,93.0816,0,0,0
17,Listrik dan gas,330.8347387,2.595075,0.009089804,1.678741123,0,1.03803,1.108139965,0,0,0,221.4464,102.4145959,0,0,0.544666842
18,Air Bersih,7182239.079,0,0,10757.22278,0,0,0,0,0,0,5020037.299,2151444.557,0,0,0
19,Bangunan,9774.016248,161.7282475,0,0,0,0,0,0,0,0,6728.6016,2883.6864,0,0,0
20,Perdagangan Besar & Eceran,6813.79235,54.992175,0,9.8985915,0,21.99687,23.0967135,0,0,0,4692.6656,2011.1424,0,0,0
21,Restoran dan hotel,3610.833881,7.341940375,0,1.321549268,0,2.93677615,3.083614958,0,0,0,2517.305,1078.845,0,0,0
22,Angkutan Jalan Raya  ,629.75,0,0,0,0,0,0,0,0,0,440.825,188.925,0,0,0
23,Angkutan Laut,4071.145125,1104.745125,0,0,0,0,0,0,0,0,2076.48,889.92,0,0,0
24,Angkutan Udara,65890692.67,406.567381,0,0,0,0,0,0,0,0,153386.1,65736900,0,0,0
25,Jasa Penunjang Angkutan,291136.4345,5.99675489,0,0,0,0,0,0,0,145565.2189,101895.6532,43669.56566,0,0,0
26,Komunikasi,363.9181353,7.50213527,0,0,0,0,0,0,0,0,249.4912,106.9248,0,0,0
27,Bank dan Lembaga Keuangan tanpa Bank,758.4629885,32.99991926,0,5.939985467,0,13.1999677,13.85996609,346.231575,0,0,242.3621025,103.8694725,0,0,0
28,Sewa Bangunan dan Jasa Perusahaan,3944.667846,0,0,0,0,0,21.97984572,0,0,0,2745.8816,1176.8064,0,0,0
29,Pemerintahan Umum,1306.368,0,0,0,0,0,0,0,0,0,914.4576,391.9104,0,0,0
30,Jasa Sosial Kemasyarakatan,611.3315531,5.05777657,0,0.910399783,0,2.023110628,2.124266159,0,0,0,420.8512,180.3648,0,0,0
31,Jasa Hiburan & Rekreasi,468.66105,1.274525,0,0.2294145,0,0.50981,0.5353005,0,0,0,326.2784,139.8336,0,0,0
32,Jasa Perorangan & Rumahtangga,1263.531343,10.45367148,0,1.881660866,0,4.181468592,4.390542022,0,0,0,869.8368,372.7872,0,0,0
