Year,Population,,,,,,,,,,,,,,,,,,,,,,,,
2010,1692800,,,,,,,,,,,,,,,,,,,,,,,,
2011,1748840,,,,,,,,,,,,,,,,,,,,,,,,
2012,1804880,,,,,,,,,,,,,,,,,,,,,,,,
2013,1860920,,,,,,,,,,,,,,,,,,,,,,,,
2014,1916960,,,,,,,,,,,,,,,,,,,,,,,,
2015,1973000,,,,,,,,,,,,,,,,,,,,,,,,
2016,2026840,,,,,,,,,,,,,,,,,,,,,,,,
2017,2080680,,,,,,,,,,,,,,,,,,,,,,,,
2018,2134520,,,,,,,,,,,,,,,,,,,,,,,,
2019,2188360,,,,,,,,,,,,,,,,,,,,,,,,
2020,2242200,,,,,,,,,,,,,,,,,,,,,,,,
2021,2294060,,,,,,,,,,,,,,,,,,,,,,,,
2022,2345920,,,,,,,,,,,,,,,,,,,,,,,,
2023,2397780,,,,,,,,,,,,,,,,,,,,,,,,
2024,2449640,,,,,,,,,,,,,,,,,,,,,,,,
2025,2501500,,,,,,,,,,,,,,,,,,,,,,,,
2026,2554900,,,,,,,,,,,,,,,,,,,,,,,,
2027,2608300,,,,,,,,,,,,,,,,,,,,,,,,
2028,2661700,,,,,,,,,,,,,,,,,,,,,,,,
2029,2715100,,,,,,,,,,,,,,,,,,,,,,,,
2030,2768500,,,,,,,,,,,,,,,,,,,,,,,,
2031,2824900,,,,,,,,,,,,,,,,,,,,,,,,
2032,2881300,,,,,,,,,,,,,,,,,,,,,,,,
2033,2937700,,,,,,,,,,,,,,,,,,,,,,,,
2034,2994100,,,,,,,,,,,,,,,,,,,,,,,,
2035,3050500,,,,,,,,,,,,,,,,,,,,,,,,
