Tanaman Pangan ,Pertanian kehutanan dan perikanan
Tanaman Hortikultura ,Pertanian kehutanan dan perikanan
Perkebunan ,Pertanian kehutanan dan perikanan
Peternakan ,Pertanian kehutanan dan perikanan
"Jasa Pertanian, dan Perburuan  ",Pertanian kehutanan dan perikanan
Kehutanan dan Penebangan Kayu,Pertanian kehutanan dan perikanan
Perikanan ,Pertanian kehutanan dan perikanan
Pertambangan Minyak & Gas Bumi,Pertambangan dan penggalian
Pertambangan Batubara dan Lignit,Pertambangan dan penggalian
Pertambangan Bijih Logam,Pertambangan dan penggalian
Pertambangan dan Penggalian Lainnya,Pertambangan dan penggalian
Industri Batubara dan Pengilangan Migas,Industri pengolahan
Industri Makanan dan Minuman ,Industri pengolahan
Industri Pengolahan Tembakau,Industri pengolahan
Industri Tekstil dan Pakaian Jadi,Industri pengolahan
"Industri Kulit, Barang dari Kulit dan Alas Kaki ",Industri pengolahan
"Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya ",Industri pengolahan
"Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman ",Industri pengolahan
"Industri Kimia, Farmasi dan Obat Tradisional",Industri pengolahan
"Industri Karet, Barang dari Karet dan Plastik",Industri pengolahan
Industri Barang Galian bukan Logam,Industri pengolahan
Industri Logam Dasar ,Industri pengolahan
"Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik",Industri pengolahan
Industri Mesin dan Perlengkapan YTDL,Industri pengolahan
Industri Alat Angkutan,Industri pengolahan
Industri Furnitur,Industri pengolahan
"Industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan",Industri pengolahan
Ketenagalistrikan ,Pengadaan listrik dan gas
 Gas,Pengadaan listrik dan gas
Pengadaan Air,Pengadaan air pengelolaan sampah limbah dan daur ulang
Konstruksi Gedung ,Konstruksi
Konstruksi Bangunan Sipil,Konstruksi
Konstruksi Khusus ,Konstruksi
Perdagangan Besar dan Eceran,Perdagangan besar dan eceran reparasi mobil dan sepeda motor
Angkutan Rel ,Transportasi dan pergudangan
Angkutan Darat,Transportasi dan pergudangan
Angkutan Laut ,Transportasi dan pergudangan
Angkutan Sungai Danau dan Penyeberangan,Transportasi dan pergudangan
Angkutan Udara,Transportasi dan pergudangan
"Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir",Transportasi dan pergudangan
Penyediaan Akomodasi ,Penyediaan akomodasi dan makan minum
Penyediaan Makan Minum,Penyediaan akomodasi dan makan minum
Informasi dan Komunikasi ,Informasi dan komunikasi
Bank,Jasa keuangan dan asuransi
Asuransi dan Dana Pensiun,Jasa keuangan dan asuransi
Jasa Keuangan Lainnya,Jasa keuangan dan asuransi
Jasa Penunjang Keuangan,Jasa keuangan dan asuransi
Real Estate,Real estat
Jasa Perusahaan,Jasa perusahaan
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Administrasi pemerintahan pertahanan dan jaminan sosial wajib
Jasa Pendidikan,Jasa pendidikan
Jasa Kesehatan dan Kegiatan Sosial,Jasa kesehatan dan kegiatan sosial
Jasa lainnya,Jasa lainnya
