Padi,Pertanian kehutanan dan perikanan
Jagung,Pertanian kehutanan dan perikanan
Ketela pohon,Pertanian kehutanan dan perikanan
Ubi jalar,Pertanian kehutanan dan perikanan
Kacang tanah,Pertanian kehutanan dan perikanan
Kedelai,Pertanian kehutanan dan perikanan
Kacang-kacangan lainnya,Pertanian kehutanan dan perikanan
Sayuran,Pertanian kehutanan dan perikanan
Buah-buahan,Pertanian kehutanan dan perikanan
Tanaman Bahan Makanan Lainnya,Pertanian kehutanan dan perikanan
Karet,Pertanian kehutanan dan perikanan
Kelapa,Pertanian kehutanan dan perikanan
Kelapa sawit,Pertanian kehutanan dan perikanan
Hasil tanaman serat,Pertanian kehutanan dan perikanan
Kopi,Pertanian kehutanan dan perikanan
Cengkeh,Pertanian kehutanan dan perikanan
Kakao,Pertanian kehutanan dan perikanan
Hasil perkebunan lainnya,Pertanian kehutanan dan perikanan
Ternak dan Hasil2nya,Pertanian kehutanan dan perikanan
Susu segar,Pertanian kehutanan dan perikanan
Unggas dan hasilnya,Pertanian kehutanan dan perikanan
Hasil pemeliharaan hewan lainnya,Pertanian kehutanan dan perikanan
Kayu,Pertanian kehutanan dan perikanan
Hasil Hutan lainnya,Pertanian kehutanan dan perikanan
Ikan laut dan hasil laut lainnya,Pertanian kehutanan dan perikanan
Ikan darat dan hasil perikanan darat lainnya,Pertanian kehutanan dan perikanan
Udang ,Pertanian kehutanan dan perikanan
Batubara,Pertambangan dan penggalian
Minyak bumi,Pertambangan dan penggalian
Barang tambang lainnya,Pertambangan dan penggalian
Industri penggaraman  pengeringan ikan dan biota perairan lainnya,Industri pengolahan
Ikan olahan dan awetan,Industri pengolahan
Buah - buahan dan sayuran olahan dan awetan,Industri pengolahan
Minyak hewani dan minyak nabati,Industri pengolahan
Beras,Industri pengolahan
Kopi giling dan kupasan,Industri pengolahan
Biji - bijian kupasan,Industri pengolahan
Kopra,Industri pengolahan
Tepung segala macam,Industri pengolahan
Pakan ternak,Industri pengolahan
Roti  biskuit dan sejenisnnya,Industri pengolahan
Gula,Industri pengolahan
Coklat dan kembang gula,Industri pengolahan
Mie makaroni dan sejenisnya,Industri pengolahan
Teh olahan,Industri pengolahan
Hasil pengolahan kedele,Industri pengolahan
Makanan lainnya,Industri pengolahan
Minuman beralkohol,Industri pengolahan
Minuman tak beralkohol,Industri pengolahan
Tembakau olahan,Industri pengolahan
Rokok,Industri pengolahan
Benang,Industri pengolahan
Tekstil jadi kecuali pakaian,Industri pengolahan
Permadani tali dan tekstil lainnya,Industri pengolahan
Kapuk bersih,Industri pengolahan
Pakaian jadi,Industri pengolahan
Kulit samakan dan olahan,Industri pengolahan
Alas kaki,Industri pengolahan
Kayu gergajian dan awetan,Industri pengolahan
Kayu lapis dan sejenisnya,Industri pengolahan
Bahan bangunan dari kayu,Industri pengolahan
Barang - barang lainnya terbuat dari kayu gabus bambu dan rotan,Industri pengolahan
Perabot rumah tangga terbuat dari kayu  bambu dan rotan,Industri pengolahan
Bubur kertas,Industri pengolahan
Kertas dan karton,Industri pengolahan
Barang - barang dari kertas dan karton,Industri pengolahan
Barang - barang hasil kilang minyak,Industri pengolahan
Kimia dasar kecuali pupuk,Industri pengolahan
Pupuk ,Industri pengolahan
Cat vernis dan lak,Industri pengolahan
Obat - obatan,Industri pengolahan
Sabun dan bahan pembersih,Industri pengolahan
Barang - barang kimia lainnya,Industri pengolahan
Karet remah dan karet asap,Industri pengolahan
Barang - barang plastk,Industri pengolahan
Keramik dan barang - barang dari tanah liat,Industri pengolahan
Bahan bangunan keramik dan dari tanah liat,Industri pengolahan
Barang - arang lainnya dari bahan bukan logam,Industri pengolahan
Besi dan baja dasar,Industri pengolahan
Barang - barang dari logam dasar bukan besi,Industri pengolahan
Alat - alat dapur pertukangan dan pertanian dari logam,Industri pengolahan
Perabot rumah tangga dan kantor dari logam,Industri pengolahan
Barang - barang logam lainnya,Industri pengolahan
Mesin penggerak mulia,Industri pengolahan
Mesin dan perlengkapannya,Industri pengolahan
Perlengkapan listrik lainnya,Industri pengolahan
Alat listrik untuk rumah tangga,Industri pengolahan
Mesin pembangkit dan motor listrik,Industri pengolahan
Mesin listrik dan perlengkapannya,Industri pengolahan
Kendaraan bermotor kecuali sepeda motor,Industri pengolahan
Kapal dan jasa perbaikannya,Industri pengolahan
Barang - barang industri lainnya,Industri pengolahan
Listrik dan gas,Pengadaan listrik dan gas
Air bersih,Pengadaan air pengelolaan sampah limbah dan daur ulang
Bangunan,Konstruksi
Jasa perdagangan,Perdagangan besar dan eceran reparasi mobil dan sepeda motor
Jasa restoran,Penyediaan akomodasi dan makan minum
Jasa perhotelan,Penyediaan akomodasi dan makan minum
Jasa angkutan darat,Transportasi dan pergudangan
Jasa angkutan laut,Transportasi dan pergudangan
Jasa angkutan udara,Transportasi dan pergudangan
Jasa penunjang angkutan,Transportasi dan pergudangan
Jasa komunikasi,Informasi dan komunikasi
Bank,Jasa keuangan dan asuransi
Lembaga keuangan lainnya,Jasa keuangan dan asuransi
Sewa bangunan dan sewa tanah,Real estat
Jasa perusahaan,Jasa perusahaan
Jasa pemerintahan umum,Administrasi pemerintahan pertahanan dan jaminan sosial wajib
Jasa Sosial Kemasyarakatan,Jasa kesehatan dan kegiatan sosial
Jasa hiburan rekreasi dan kebudayaan,Jasa kesehatan dan kegiatan sosial
Jasa perorangan dan rumah tangga,Jasa lainnya
Barang dan jasa yang tidak masuk dimanapun,Jasa lainnya
