ID,Sektor,Labour
1,Padi,5473
2,Jagung,297
3,Ketela pohon,168
4,Ubi jalar,41
5,Kacang tanah,33
6,Kedelai,85
7,Kacang-kacangan lainnya,842
8,Sayuran,1787
9,Buah-buahan,4988
10,Tanaman Bahan Makanan Lainnya,54
11,Karet,151618
12,Kelapa,27011
13,Kelapa sawit,105497
14,Hasil tanaman serat,8925
15,Kopi,996
16,Cengkeh,1100
17,Kakao,782
18,Hasil perkebunan lainnya,4324
19,Ternak dan Hasil2nya,7689
20,Susu segar,6
21,Unggas dan hasilnya,10275
22,Hasil pemeliharaan hewan lainnya,2424
23,Kayu,99700
24,Hasil Hutan lainnya,27089
25,Ikan laut dan hasil laut lainnya,14782
26,Ikan darat dan hasil perikanan darat lainnya,9400
27,Udang ,2858
28,Batubara,18873
29,Minyak bumi,295646
30,Barang tambang lainnya,8964
31,Industri penggaraman  pengeringan ikan dan biota perairan lainnya,100
32,Ikan olahan dan awetan,17
33,Buah - buahan dan sayuran olahan dan awetan,17
34,Minyak hewani dan minyak nabati,296019
35,Beras,16
36,Kopi giling dan kupasan,2
37,Biji - bijian kupasan,1
38,Kopra,0
39,Tepung segala macam,36
40,Pakan ternak,536
41,Roti  biskuit dan sejenisnnya,361
42,Gula,13
43,Coklat dan kembang gula,3
44,Mie makaroni dan sejenisnya,886
45,Teh olahan,12
46,Hasil pengolahan kedele,199
47,Makanan lainnya,2556
48,Minuman beralkohol,9
49,Minuman tak beralkohol,3459
50,Tembakau olahan,1
51,Rokok,139
52,Benang,41
53,Tekstil jadi kecuali pakaian,7
54,Permadani tali dan tekstil lainnya,39
55,Kapuk bersih,
56,Pakaian jadi,10
57,Kulit samakan dan olahan,405
58,Alas kaki,4
59,Kayu gergajian dan awetan,0
60,Kayu lapis dan sejenisnya,86
61,Bahan bangunan dari kayu,2530
62,Barang - barang lainnya terbuat dari kayu gabus bambu dan rotan,1678
63,Perabot rumah tangga terbuat dari kayu  bambu dan rotan,14
64,Bubur kertas,674
65,Kertas dan karton,143541
66,Barang - barang dari kertas dan karton,15621
67,Barang - barang hasil kilang minyak,3045
68,Kimia dasar kecuali pupuk,66523
69,Pupuk ,2143
70,Cat vernis dan lak,12804
71,Obat - obatan,15
72,Sabun dan bahan pembersih,14
73,Barang - barang kimia lainnya,2
74,Karet remah dan karet asap,2
75,Barang - barang plastk,10778
76,Keramik dan barang - barang dari tanah liat,572
77,Bahan bangunan keramik dan dari tanah liat,7091
78,Barang - arang lainnya dari bahan bukan logam,124
79,Besi dan baja dasar,923
80,Barang - barang dari logam dasar bukan besi,2
81,Alat - alat dapur pertukangan dan pertanian dari logam,700
82,Perabot rumah tangga dan kantor dari logam,24
83,Barang - barang logam lainnya,24
84,Mesin penggerak mulia,18
85,Mesin dan perlengkapannya,460
86,Perlengkapan listrik lainnya,199
87,Alat listrik untuk rumah tangga,3
88,Mesin pembangkit dan motor listrik,2
89,Mesin listrik dan perlengkapannya,0
90,Kendaraan bermotor kecuali sepeda motor,4
91,Kapal dan jasa perbaikannya,73
92,Barang - barang industri lainnya,743
93,Listrik dan gas,466
94,Air bersih,4138
95,Bangunan,1416
96,Jasa perdagangan,183354
97,Jasa restoran,222008
98,Jasa perhotelan,7695
99,Jasa angkutan darat,9260
100,Jasa angkutan laut,42238
101,Jasa angkutan udara,10077
102,Jasa penunjang angkutan,4563
103,Jasa komunikasi,7144
104,Bank,4900
105,Lembaga keuangan lainnya,31166
106,Sewa bangunan dan sewa tanah,4266
107,Jasa perusahaan,4863
108,Jasa pemerintahan umum,3142
109,Jasa Sosial Kemasyarakatan,210681
110,Jasa hiburan rekreasi dan kebudayaan,3119
111,Jasa perorangan dan rumah tangga,4012
112,Barang dan jasa yang tidak masuk dimanapun,24693
