ID,Sektor,Total_Cons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
1,Padi,47072.83663,0,0,0,0,8205.42133,17841.99109,0,20715.0934,0,0,0,0,0,0,1.804440862,16.59154447,0,0,291.9348186,0,0,0,0,0,0,0
2,jagung,3175.089759,0,0,0,0,553.4603628,1203.452506,0,1397.2449,0,0,0,0,0,0,0.121710568,1.119109166,0,0,19.69117052,0,0,0,0,0,0,0
3,ketela pohon,2182.286143,0,0,0,0,380.4014915,827.1507033,0,960.3470813,0,0,0,0,0,0,0.083653473,0.769180278,0,0,13.53403268,0,0,0,0,0,0,0
4,ubi jalar,442.2262705,0,0,0,0,77.08591904,167.6167775,0,194.608168,0,0,0,0,0,0,0.016951839,0.155869443,0,0,2.742584797,0,0,0,0,0,0,0
5,Kacang tanah,309.7731448,0,0,0,0,53.99757805,117.4131429,0,136.3202239,0,0,0,0,0,0,0.01187452,0.109184304,0,0,1.921141221,0,0,0,0,0,0,0
6,kedelai,624.53665,0,0,0,0,108.8650423,236.7177792,0,274.8365291,0,0,0,0,0,0,0.023940334,0.220127537,0,0,3.873231501,0,0,0,0,0,0,0
7,kacang - kacangan lainnya,9413.889996,0,0,0,0,1640.966198,3568.141491,0,4142.72061,0,0,0,0,0,0,0.360862208,3.318070158,0,0,58.38276309,0,0,0,0,0,0,0
8,sayuran,7787.820461,0,0,0,0,1357.520657,2951.813259,0,3427.14482,0,0,0,0,0,0,0.29853016,2.744936969,0,0,48.29825685,0,0,0,0,0,0,0
9,buah - buahan,45976.25205,0,0,0,0,8014.272058,17426.35325,0,20232.52524,0,0,0,0,0,0,1.762405536,16.20503639,0,0,285.1340554,0,0,0,0,0,0,0
10,Tanaman Bahan Makanan Lainnya,521.881405,0,0,0,0,90.97086811,197.8084188,0,229.6615802,0,0,0,0,0,0,0.020005256,0.183945119,0,0,3.236587472,0,0,0,0,0,0,0
11,karet,232929.5894,0,0,0,0,40602.72459,88287.17277,0,102504.0882,0,0,0,0,0,0,8.928879141,82.09961237,0,0,1444.575307,0,0,0,0,0,0,0
12,kelapa,94706.82778,0,0,0,0,16508.65936,35896.67628,0,41677.13109,0,0,0,0,0,0,3.630392434,33.38087647,0,0,587.3497876,0,0,0,0,0,0,0
13,kelapa sawit,288898.6931,0,0,0,0,50358.88356,109501.111,0,127134.1147,0,0,0,0,0,0,11.07434019,101.8267828,0,0,1791.682712,0,0,0,0,0,0,0
14,hasil tanaman serat,29175.67752,0,0,0,0,5085.708527,11058.44083,0,12839.18557,0,0,0,0,0,0,1.118389892,10.28341578,0,0,180.9407874,0,0,0,0,0,0,0
15,kopi,3347.080809,0,0,0,0,583.4406897,1268.642178,0,1472.932089,0,0,0,0,0,0,0.128303493,1.179730054,0,0,20.75781914,0,0,0,0,0,0,0
16,cengkeh,3361.853479,0,0,0,0,586.0157625,1274.241455,0,1479.433019,0,0,0,0,0,0,0.128869773,1.184936908,0,0,20.84943581,0,0,0,0,0,0,0
17,kakao,2947.310943,0,0,0,0,513.7554865,1117.117628,0,1297.007485,0,0,0,0,0,0,0.112979134,1.038825023,0,0,18.27853912,0,0,0,0,0,0,0
18,hasil perkebunan lainnya,12996.41277,0,0,0,0,2265.447554,4926.023108,0,5719.262397,0,0,0,0,0,0,0.498190888,4.580785351,0,0,80.60073873,0,0,0,0,0,0,0
