ID,SEKTOR,Total_Ec,Padat_Ditimbun_di_TPA ,Padat_Kompos,Padat_R3,Padat_waste_to_energy,Padat_dibakar_terbuka,Padat_tidak_terkelola ,Cair_septic_tank,Cair_MCK_plus,Cair_IPAL_Aerob,Cair_IPAL_Anaerob,Cair_tidak_terkelola,Cair_Biogas,Cair_Pengolahan_KIMIA,Cair_R3
1,Padi,1795362.286,0,565428.78,0,0,565428.78,664154.44,0,0,0,245.2004518,105.0859079,0,0,0
2,Jagung,52996.20671,0,0,15893.1552,0,0,37084.0288,0,0,0,13.31589756,5.70681324,0,0,0
3,Ketela pohon,11396.36937,0,0,3415.68,0,0,7969.92,0,0,0,7.538560444,3.230811619,0,0,0
4,Ubi jalar,1497.68467,0,0,448.515,0,0,1046.535,0,0,0,1.844268832,0.790400928,0,0,0
5,Kacang tanah,303.1624292,0,0,90.315,0,0,210.735,0,0,0,1.478700428,0.633728755,0,0,0
6,Kedelai,879.9552813,0,0,262.35,0,0,612.15,0,0,0,3.818696939,1.636584402,0,0,0
7,Kacang-kacangan lainnya,238.0791035,0,0,55.26,0,0,128.94,0,0,0,37.71537245,16.16373105,0,0,0
8,Sayuran,10799.7906,0,0,3205.62,0,0,7479.78,0,0,0,80.07342311,34.31718133,0,0,0
9,Buah-buahan,3208727.913,0,0,962522.595,0,0,2245886.055,0,0,0,223.4843966,95.7790271,0,0,0
10,Tanaman Bahan Makanan Lainnya,174611.8829,0,0,52382.52,0,0,122225.88,0,0,0,2.438041205,1.044874802,0,0,0
11,Karet,27554.77104,0,0,5355.36,0,0,12495.84,0,0,0,6792.499727,2911.071311,0,0,0
12,Kelapa,185375.4,0,0,0,0,0,185375.4,0,0,0,0,0,0,0,0
13,Kelapa sawit,5034832.8,0,0,0,0,0,0,0,0,0,2090462.579,2944370.221,0,0,0
14,Hasil tanaman serat,580.5759462,4.685662901,0,0.843419322,0,1.874265161,1.967978419,0,0,0,399.8432342,171.3613861,0,0,0
15,Kopi,267.5639503,0,0,61.155,0,0,142.695,0,0,0,44.59976522,19.11418509,0,0,0
16,Cengkeh,70.40009174,0,0,0,0,0,0,0,0,0,49.28006422,21.12002752,0,0,0
17,Kakao,548.1904876,0,0,149.445,0,0,348.705,0,0,0,35.0283413,15.01214627,0,0,0
18,Hasil perkebunan lainnya,46126.33047,0,0,13754.88,0,0,32094.72,0,0,0,193.7113302,83.01914151,0,0,0
19,Ternak dan Hasil2nya,69866.125,0,0,0,0,0,0,0,0,0,0,69866.125,0,0,0
20,Susu segar,0.399100657,0.003221028,0,0.000579785,0,0.001288411,0.001352832,0,0,0,0.274861021,0.117797581,0,0,0
21,Unggas dan hasilnya,2882288.688,0,0,2021.870475,0,0,4717.697775,0,0,0,2012884.384,862664.736,0,0,0
22,Hasil pemeliharaan hewan lainnya,157.6657693,1.272475464,0,0.229045583,0,0.508990185,0.534439695,0,0,0,108.5845729,46.53624553,0,0,0
23,Kayu,22111.75896,0,0,4483.324922,0,0,11247.63972,0,0,0,4466.556026,1914.238297,0,0,0
24,Hasil Hutan lainnya,13394.63093,0,0,3323.371542,0,0,8337.581238,0,0,0,1213.574708,520.1034461,0,0,0
25,Ikan laut dan hasil laut lainnya,3456.503036,0,0,1255.22097,0,0,1255.22097,0,0,0,662.2427673,283.8183288,0,0,0
26,Ikan darat dan hasil perikanan darat lainnya,2656.859438,0,0,1027.641648,0,0,1027.641648,0,0,0,421.1033001,180.4728429,0,0,0
27,Udang ,715.0537144,0,0,266.0590938,0,0,266.0590938,0,0,0,128.0548688,54.88065807,0,0,0
28,Batubara,1549.211305,0,0,168.6461479,0,0,172.6914236,0,0,0,845.5116133,362.36212,0,0,0
29,Minyak bumi,19313.31437,0,221.0650491,102.4804864,0,0,68.44232482,0,0,0,13244.92856,5676.397954,0,0,0
30,Barang tambang lainnya,583.0800646,4.705872927,0,0.847057127,0,1.882349171,1.976466629,0,0,0,401.5678231,172.1004956,0,0,0
31,Industri penggaraman  pengeringan ikan dan biota perairan lainnya,6.490868454,0.052385948,0,0.009429471,0,0.020954379,0.022002098,0,0,0,4.47026759,1.915828967,0,0,0
32,Ikan olahan dan awetan,1.084816194,0.008755242,0,0.001575944,0,0.003502097,0.003677202,0,0,0,0.747113997,0.320191713,0,0,0
33,Buah - buahan dan sayuran olahan dan awetan,1.084448946,0.008752278,0,0.00157541,0,0.003500911,0.003675957,0,0,0,0.746861073,0.320083317,0,0,0
34,Minyak hewani dan minyak nabati,19256.01982,155.4098448,0,27.97377206,0,62.16393791,65.27213481,0,0,0,13261.64009,5683.560038,0,0,0
35,Beras,1.071534875,0.008648052,0,0.001556649,0,0.003459221,0.003632182,0,0,0,0.737967139,0.316271631,0,0,0
36,Kopi giling dan kupasan,0.138026357,0.001113971,0,0.000200515,0,0.000445589,0.000467868,0,0,0,0.09505889,0.040739524,0,0,0
37,Biji - bijian kupasan,0.080991559,0.00065366,0,0.000117659,0,0.000261464,0.000274537,0,0,0,0.055778968,0.023905272,0,0,0
38,Kopra,0.009389594,7.57807E-05,0,1.36405E-05,0,3.03123E-05,3.18279E-05,0,0,0,0.006466623,0.00277141,0,0,0
39,Tepung segala macam,2.33462781,0.018842115,0,0.003391581,0,0.007536846,0.007913688,0,0,0,1.607860506,0.689083074,0,0,0
40,Pakan ternak,34.89205843,0.281603854,0,0.050688694,0,0.112641541,0.118273618,0,0,0,24.0301955,10.29865522,0,0,0
41,Roti  biskuit dan sejenisnnya,23.4729907,0.189443814,0,0.034099887,0,0.075777526,0.079566402,0,0,0,16.16587215,6.928230921,0,0,0
42,Gula,0.868454873,0.007009052,0,0.001261629,0,0.002803621,0.002943802,0,0,0,0.598105739,0.256331031,0,0,0
43,Coklat dan kembang gula,0.168159907,0.001357171,0,0.000244291,0,0.000542868,0.000570012,0,0,0,0.115811896,0.04963367,0,0,0
44,Mie makaroni dan sejenisnya,57.60337074,0.464900379,0,0.083682068,0,0.185960152,0.195258159,0,0,0,39.67149899,17.00207099,0,0,0
45,Teh olahan,0.761536121,0.006146141,0,0.001106305,0,0.002458456,0.002581379,0,0,0,0.524470687,0.224773152,0,0,0
46,Hasil pengolahan kedele,12.96681948,0.104651502,0,0.01883727,0,0.041860601,0.043953631,0,0,0,8.930261534,3.827254943,0,0,0
47,Makanan lainnya,166.2526685,1.341777878,0,0.241520018,0,0.536711151,0.563546709,0,0,0,114.4983789,49.07073382,0,0,0
48,Minuman beralkohol,0.564839008,0.004558655,0,0.000820558,0,0.001823462,0.001914635,0,0,0,0.389005189,0.16671651,0,0,0
49,Minuman tak beralkohol,224.979187,1.815742862,0,0.326833715,0,0.726297145,0.762612002,0,0,0,154.9433909,66.40431039,0,0,0
50,Tembakau olahan,0.051741934,0.000417594,0,7.5167E-05,0,0.000167038,0.00017539,0,0,0,0.035634722,0.015272024,0,0,0
51,Rokok,9.043638705,0.072988629,0,0.013137953,0,0.029195452,0.030655224,0,0,0,6.228363013,2.669298434,0,0,0
52,Benang,2.641651356,0.021320015,0,0.003837603,0,0.008528006,0.008954406,0,0,0,1.819307929,0.779703398,0,0,0
53,Tekstil jadi kecuali pakaian,0.440709859,0.003556844,0,0.000640232,0,0.001422737,0.001493874,0,0,0,0.30351732,0.130078851,0,0,0
54,Permadani tali dan tekstil lainnya,2.505780789,0.020223442,0,0.00364022,0,0.008089377,0.008493846,0,0,0,1.725733733,0.739600171,0,0,0
55,Kapuk bersih,0.665893521,0.005374237,0,0.000967363,0,0.002149695,0.002257179,0,0,0,0.458601533,0.196543514,0,0,0
56,Pakaian jadi,26.31791863,0.212404416,0,0.038232795,0,0.084961767,0.089209855,0,0,0,18.12517686,7.767932939,0,0,0
57,Kulit samakan dan olahan,0.273552851,0.002207767,0,0.000397398,0,0.000883107,0.000927262,0,0,0,0.188396122,0.080741195,0,0,0
58,Alas kaki,0.027581764,0.000222605,0,4.00688E-05,0,8.90418E-05,9.34939E-05,0,0,0,0.018995588,0.008140966,0,0,0
59,Kayu gergajian dan awetan,583.0930942,0,261.8443126,192.5325828,123.220853,0,0,0,0,0,3.846742087,1.648603752,0,0,0
60,Kayu lapis dan sejenisnya,5811.057358,0,2560.940578,1883.044543,1205.148507,0,0,0,0,0,113.3466105,48.5771188,0,0,0
61,Bahan bangunan dari kayu,109.1603076,0.881001714,0,0.158580309,0,0.352400686,0.37002072,0,0,0,75.17881295,32.21949126,0,0,0
62,Barang - barang lainnya terbuat dari kayu gabus bambu dan rotan,0.941388282,0.007597676,0,0.001367582,0,0.003039071,0.003191024,0,0,0,0.64833505,0.277857879,0,0,0
