Year,Population,,,,,,,,,,,,,,,,,,,,,,,,
2010,5574900,,,,,,,,,,,,,,,,,,,,,,,,
2011,5728800,,,,,,,,,,,,,,,,,,,,,,,,
2012,5882700,,,,,,,,,,,,,,,,,,,,,,,,
2013,6036600,,,,,,,,,,,,,,,,,,,,,,,,
2014,6190500,,,,,,,,,,,,,,,,,,,,,,,,
2015,6344400,,,,,,,,,,,,,,,,,,,,,,,,
2016,6501180,,,,,,,,,,,,,,,,,,,,,,,,
2017,6657960,,,,,,,,,,,,,,,,,,,,,,,,
2018,6814740,,,,,,,,,,,,,,,,,,,,,,,,
2019,6971520,,,,,,,,,,,,,,,,,,,,,,,,
2020,7128300,,,,,,,,,,,,,,,,,,,,,,,,
2021,7282340,,,,,,,,,,,,,,,,,,,,,,,,
2022,7436380,,,,,,,,,,,,,,,,,,,,,,,,
2023,7590420,,,,,,,,,,,,,,,,,,,,,,,,
2024,7744460,,,,,,,,,,,,,,,,,,,,,,,,
2025,7898500,,,,,,,,,,,,,,,,,,,,,,,,
2026,8047460,,,,,,,,,,,,,,,,,,,,,,,,
2027,8196420,,,,,,,,,,,,,,,,,,,,,,,,
2028,8345380,,,,,,,,,,,,,,,,,,,,,,,,
2029,8494340,,,,,,,,,,,,,,,,,,,,,,,,
2030,8643300,,,,,,,,,,,,,,,,,,,,,,,,
2031,8787240,,,,,,,,,,,,,,,,,,,,,,,,
2032,8931180,,,,,,,,,,,,,,,,,,,,,,,,
2033,9075120,,,,,,,,,,,,,,,,,,,,,,,,
2034,9219060,,,,,,,,,,,,,,,,,,,,,,,,
2035,9363000,,,,,,,,,,,,,,,,,,,,,,,,
