Sektor,Kategori,Hutan lahan kering primer,Hutan lahan kering sekunder / bekas tebangan,Hutan rawa primer,Hutan rawa sekunder,Hutan mangrove primer,Hutan mangrove sekunder,Hutan tanaman,Perkebunan,Semak belukar,Semak belukar rawa,Savanna / Padang rumput,Pertanian lahan kering,Pertanian lahan kering  campur semak / kebun campur,Sawah,Tambak,Pemukiman,Transmigrasi,Lahan terbuka,Pertambangan,Tubuh air,Rawa,Awan,Bandara,Total kebutuhan lahan,LRC,LPC
Padi,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,0,0,76817.2,0,18593.6,0,167296,0,0,0,0,0,0,2635.5,0,0,265342.3,0.076544112,13.0643622
Jagung,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,0,0,0,0,18593.6,0,0,0,0,396.3,0,0,0,0,0,0,18989.9,0.081216139,12.3128237
Ketela pohon,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,0,0,0,0,18593.6,0,0,0,0,396.3,0,0,0,0,0,0,18989.9,0.118164399,8.462785805
Ubi jalar,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,0,0,0,0,18593.6,0,0,0,0,396.3,0,0,0,0,0,0,18989.9,0.583114455,1.714929189
Kacang tanah,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,0,0,0,0,18593.6,0,0,0,0,396.3,0,0,0,0,0,0,18989.9,0.832443145,1.201283242
Kedelai,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,0,0,0,0,18593.6,0,0,0,0,396.3,0,0,0,0,0,0,18989.9,0.412895754,2.421918828
Kacang-kacangan lainnya,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,0,0,0,0,18593.6,0,0,0,0,396.3,0,0,0,0,0,0,18989.9,0.027392346,36.50654837
Sayuran,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,0,0,0,0,18593.6,0,0,0,0,396.3,0,0,0,0,0,0,18989.9,0.033111771,30.20074002
Buah-buahan,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,336863.4989,3326,76817.2,0,37187.2,136180.2,0,0,0,396.3,0,0,0,0,0,0,590770.3989,0.174486098,5.731115624
Tanaman Bahan Makanan Lainnya,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,280158.1787,3326,76817.2,0,0,136180.2,0,0,0,396.3,0,0,0,0,0,0,496877.8787,12.92865979,0.077347538
