Padi,Pertanian kehutanan dan perikanan
Tanaman bahan makanan lainnya,Pertanian kehutanan dan perikanan
Tanaman pertanian lainnya,Pertanian kehutanan dan perikanan
Peternakan dan hasil-hasilnya,Pertanian kehutanan dan perikanan
Kehutanan,Pertanian kehutanan dan perikanan
Perikanan,Pertanian kehutanan dan perikanan
Pertambangan dan penggalian,Pertambangan dan penggalian
Industri makanan minuman dan tembakau,Industri pengolahan
Industri lainnya,Industri pengolahan
Pengilangan minyak bumi,Pertambangan dan penggalian
Listrik gas dan air minum,Pengadaan listrik dan gas
Bangunan,Konstruksi
Perdagangan,Perdagangan besar dan eceran reparasi mobil dan sepeda motor
Hotel dan restoran,Penyediaan akomodasi dan makan minum
Pengangkutan dan komunikasi,Transportasi dan pergudangan
Lembaga keuangan usaha bangunan dan jasa perusahaan,Jasa perusahaan
Pemerintahan umum dan petahanan,Administrasi pemerintahan pertahanan dan jaminan sosial wajib
Jasa-jasa,Jasa lainnya
Kegiatan yang tak jelas batasannya,Jasa lainnya
