ID,Sektor,Labour
1,Padi,297847
2,Tanaman bahan makanan lainnya,70739
3,Tanaman pertanian lainnya,265299
4,Peternakan dan hasil-hasilnya,132136
5,Kehutanan,48501
6,Perikanan,91053
7,Pertambangan dan penggalian,15303
8,Industri makanan minuman dan tembakau,96239
9,Industri lainnya,275780
10,Pengilangan minyak bumi,12075
11,Listrik gas dan air minum,139972
12,Bangunan,0
13,Perdagangan,564
14,Hotel dan restoran,78358
15,Pengangkutan dan komunikasi,122053
16,Lembaga keuangan usaha bangunan dan jasa perusahaan,18895
17,Pemerintahan umum dan petahanan,175185
18,Jasa-jasa,49141
19,Kegiatan yang tak jelas batasannya,266
