Kode,Sektor,Total_Cons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
1,Padi,67.41708464,0,0,0,0,11.75169427,25.55306011,0,29.66787865,0,0,0,0,0,0,0.002584296,0.023762187,0,0,0.418105128,0,0,0,0,0,0,0
2,Tanaman bahan makanan lainnya,48.27512081,0,0,0,0,8.41499545,18.2976922,0,21.24417622,0,0,0,0,0,0,0.001850528,0.017015308,0,0,0.299391106,0,0,0,0,0,0,0
3,Tanaman pertanian lainnya,82.31273029,0,0,0,0,14.34820337,31.1989484,0,36.22292638,0,0,0,0,0,0,0.00315529,0.029012386,0,0,0.510484469,0,0,0,0,0,0,0
4,Peternakan dan hasil-hasilnya,26.21058263,0,0,0,0,4.568853062,9.93458256,0,11.534352,0,0,0,0,0,0,0.001004729,0.009238323,0,0,0.162551956,0,0,0,0,0,0,0
5,Kehutanan,15.05240754,0,0,0,0,2.623834779,5.705305661,0,6.624033103,0,0,0,0,0,0,0.000577003,0.005305452,0,0,0.093351542,0,0,0,0,0,0,0
6,Perikanan,27.98916157,0,0,0,0,4.878883022,10.60871635,0,12.31704179,0,0,0,0,0,0,0.001072907,0.00986521,0,0,0.173582291,0,0,0,0,0,0,0
7,Pertambangan dan penggalian,452.0460643,0,0,0,0,78.79763967,171.3387684,0,198.9295125,0,0,0,0,0,0,0.017328261,0.15933058,0,0,2.803484882,0,0,0,0,0,0,0
8,"Industri makanan, minuman, dan tembakau",2882.091015,0,0,0,0,502.3867858,1092.397355,0,1268.306498,0,0,0,0,0,0,0.110479061,1.015837257,0,0,17.87406025,0,0,0,0,0,0,0
9,Industri lainnya,3578.910231,0,0,0,0,623.8516404,1356.512355,0,1574.952032,0,0,0,0,0,0,0.1371902,1.261441895,0,0,22.19557146,0,0,0,0,0,0,0
10,Pengilangan minyak bumi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"Listrik, gas, dan air minum",1726.08139,0,0,0,0,300.8789372,654.2356697,0,759.587477,0,0,0,0,0,0,0.066165798,0.608383904,0,0,10.70475658,0,0,0,0,0,0,0
12,Bangunan,4698.239252,0,0,0,0,818.965572,1780.771012,0,2067.529214,0,0,0,0,0,0,0.180097387,1.655966605,0,0,29.13739053,0,0,0,0,0,0,0
13,Perdagangan,1482.569881,0,0,0,0,258.4316433,561.9376377,0,652.4266594,0,0,0,0,0,0,0.056831282,0.522554532,0,0,9.194554659,0,0,0,0,0,0,0
14,Hotel dan restoran,32.05144799,0,0,0,0,5.586993558,12.14844251,0,14.10471062,0,0,0,0,0,0,0.001228627,0.011297025,0,0,0.198775649,0,0,0,0,0,0,0
15,Pengangkutan dan komunikasi,108472.8489,0,0,0,0,18908.25988,41114.40362,0,47735.07096,0,0,0,0,0,0,4.158084684,38.23292212,0,0,672.723459,0,0,0,0,0,0,0
16,"Lembaga keuangan, usaha bangunan, dan jasa perusahaan",139.2596736,0,0,0,0,24.27481277,52.78351664,0,61.28326549,0,0,0,0,0,0,0.005338235,0.049084211,0,0,0.863656207,0,0,0,0,0,0,0
17,Pemerintahan umum dan petahanan,524.0773796,0,0,0,0,91.35365568,198.6407578,0,230.6279511,0,0,0,0,0,0,0.020089434,0.184719124,0,0,3.250206398,0,0,0,0,0,0,0
18,Jasa-jasa,435.6797602,0,0,0,0,75.94477524,165.1354573,0,191.7272799,0,0,0,0,0,0,0.016700892,0.153562025,0,0,2.701984858,0,0,0,0,0,0,0
19,Kegiatan yang tak jelas batasannya,3.13956476,0,0,0,0,0.547267883,1.189987485,0,1.381611602,0,0,0,0,0,0,0.000120349,0.001106588,0,0,0.019470853,0,0,0,0,0,0,0
