Year,Population,,,,,,,,,,,,,,,,,,,,,,,,
2010,4865300,,,,,,,,,,,,,,,,,,,,,,,,
2011,4931500,,,,,,,,,,,,,,,,,,,,,,,,
2012,4997700,,,,,,,,,,,,,,,,,,,,,,,,
2013,5063900,,,,,,,,,,,,,,,,,,,,,,,,
2014,5130100,,,,,,,,,,,,,,,,,,,,,,,,
2015,5196300,,,,,,,,,,,,,,,,,,,,,,,,
2016,5256800,,,,,,,,,,,,,,,,,,,,,,,,
2017,5317300,,,,,,,,,,,,,,,,,,,,,,,,
2018,5377800,,,,,,,,,,,,,,,,,,,,,,,,
2019,5438300,,,,,,,,,,,,,,,,,,,,,,,,
2020,5498800,,,,,,,,,,,,,,,,,,,,,,,,
2021,5550600,,,,,,,,,,,,,,,,,,,,,,,,
2022,5602400,,,,,,,,,,,,,,,,,,,,,,,,
2023,5654200,,,,,,,,,,,,,,,,,,,,,,,,
2024,5706000,,,,,,,,,,,,,,,,,,,,,,,,
2025,5757800,,,,,,,,,,,,,,,,,,,,,,,,
2026,5799900,,,,,,,,,,,,,,,,,,,,,,,,
2027,5842000,,,,,,,,,,,,,,,,,,,,,,,,
2028,5884100,,,,,,,,,,,,,,,,,,,,,,,,
2029,5926200,,,,,,,,,,,,,,,,,,,,,,,,
2030,5968300,,,,,,,,,,,,,,,,,,,,,,,,
2031,6000720,,,,,,,,,,,,,,,,,,,,,,,,
2032,6033140,,,,,,,,,,,,,,,,,,,,,,,,
2033,6065560,,,,,,,,,,,,,,,,,,,,,,,,
2034,6097980,,,,,,,,,,,,,,,,,,,,,,,,
2035,6130400,,,,,,,,,,,,,,,,,,,,,,,,
