Padi-padian,Pertanian Kehutanan dan Perikanan
Kacang-kacangan,Pertanian Kehutanan dan Perikanan
Jagung,Pertanian Kehutanan dan Perikanan
Umbi-umbian,Pertanian Kehutanan dan Perikanan
Sayuran dan buah-buahan,Pertanian Kehutanan dan Perikanan
Karet,Pertanian Kehutanan dan Perikanan
Tebu,Pertanian Kehutanan dan Perikanan
Kelapa,Pertanian Kehutanan dan Perikanan
Kelapa Sawit,Pertanian Kehutanan dan Perikanan
Lada,Pertanian Kehutanan dan Perikanan
Kopi,Pertanian Kehutanan dan Perikanan
Teh,Pertanian Kehutanan dan Perikanan
Tanaman lainnya,Pertanian Kehutanan dan Perikanan
Peternakan,Pertanian Kehutanan dan Perikanan
Pemotongan Hewan,Pertanian Kehutanan dan Perikanan
Unggas dan Hasil-hasilnya,Pertanian Kehutanan dan Perikanan
Kayu dan Hasil-hasilnya,Pertanian Kehutanan dan Perikanan
Perikanan,Pertanian Kehutanan dan Perikanan
Penambangan Batu Bara,Pertambangan dan Penggalian 
Penambangan Timah,Pertambangan dan Penggalian 
Penambangan Minyak dan Gas Bumi,Pertambangan dan Penggalian 
Penggalian,Pertambangan dan Penggalian 
Industri Pengolahan dan Pengawetan Makanan,Industri Pengolahan
Industri Minyak dan Lemak,Industri Pengolahan
Indsutri Penggilingan Padi,Industri Pengolahan
Industri Tepung,Industri Pengolahan
Industri Gula,Industri Pengolahan
Industri Makanan Lainnya,Industri Pengolahan
Industri Minuman,Industri Pengolahan
Industru Rokok,Industri Pengolahan
Industri Tekstil Pakaian dan Kulit,Industri Pengolahan
Industri Bambu Kayu dan Rotan,Industri Pengolahan
Industri Kertas Barang-barang dari Kertas dan Penjilidan,Industri Pengolahan
Industri Pupuk dan Pestisida,Industri Pengolahan
Industri Kimia,Industri Pengolahan
Pengilangan Minyak Bumi,Industri Pengolahan
Industri Barang Karet dan Plastik,Industri Pengolahan
Industri Barang-barang dari Mineral Bukan Logam,Industri Pengolahan
Industri Semen,Industri Pengolahan
Industri Logam Dasar Besi dan Baja,Industri Pengolahan
Industri Logam Dasar Bukan Besi,Industri Pengolahan
Industri Barang dari Logam lainnya,Industri Pengolahan
Industri Mesin Alat-alat dan Perlengkapan Listrik,Industri Pengolahan
Industri Alat Pengangkutan dan Perbaikannya,Industri Pengolahan
Industri yang Belum Digolongkan dimanapun,Industri Pengolahan
Listrik Gas dan Air Minum,Pengadaan Listrik Gas
Bangunan,Konstruksi
Perdagangan,Perdagangan Besar dan Eceran Reparasi Mobil dan Sepeda Motor
Hotel dan Restoran,Penyediaan Akomodasi dan Makan Minum
Angkutan Kereta Api,Transportasi dan Pergudangan 
Angkutan Jalan Raya,Transportasi dan Pergudangan 
Angkutan Air,Transportasi dan Pergudangan 
Angkutan Udara dan Jasa Penunjang Angkutan,Transportasi dan Pergudangan 
Komunikasi,Informasi dan Komunikasi 
Bank dan Lembaga Keuangan lainnya,Jasa Keuangan dan Asuransi
Usaha Bangunan dan Jasa Perusahaan,Real Estat
Pemerintahan Umum dan Jasa,Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib
Jasa Sosial Kemasyarakatan,Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib
Jasa Lainnya,Jasa lainnya
Kegiatan yang tak jelas batasannya,Jasa lainnya
