ID ,Sektor,Labour
1,Padi-padian,91507
2,Kacang-kacangan,1625
3,Jagung,2272
4,Umbi-umbian,3921
5,Sayuran dan buah-buahan,33395
6,Karet,494477
7,Tebu,966
8,Kelapa,4024
9,Kelapa Sawit,77913
10,Lada,2150
11,Kopi,29411
12,Teh,811
13,Tanaman lainnya,12302
14,Peternakan,5949
15,Pemotongan Hewan,7282
16,Unggas dan Hasil-hasilnya,31275
17,Kayu dan Hasil-hasilnya,38374
18,Perikanan,77275
19,Penambangan Batu Bara,136549
20,Penambangan Timah,0
21,Penambangan Minyak dan Gas Bumi,143675
22,Penggalian,71681
23,Industri Pengolahan dan Pengawetan Makanan,3940
24,Industri Minyak dan Lemak,21766
25,Indsutri Penggilingan Padi,87728
26,Industri Tepung,33128
27,Industri Gula,12511
28,Industri Makanan Lainnya,62058
29,Industri Minuman,3536
30,Industru Rokok,0
31,Industri Tekstil Pakaian dan Kulit,3472
32,Industri Bambu Kayu dan Rotan,72868
33,Industri Kertas Barang-barang dari Kertas dan Penjilidan,397
34,Industri Pupuk dan Pestisida,95149
35,Industri Kimia,23739
36,Pengilangan Minyak Bumi,121810
37,Industri Barang Karet dan Plastik,35513
38,Industri Barang-barang dari Mineral Bukan Logam,4638
39,Industri Semen,2161
40,Industri Logam Dasar Besi dan Baja,931
41,Industri Logam Dasar Bukan Besi,0
42,Industri Barang dari Logam lainnya,3049
43,Industri Mesin Alat-alat dan Perlengkapan Listrik,2043
44,Industri Alat Pengangkutan dan Perbaikannya,3714
45,Industri yang Belum Digolongkan dimanapun,8069
46,Listrik Gas dan Air Minum,34458
47,Bangunan,362810
48,Perdagangan,414303
49,Hotel dan Restoran,37080
50,Angkutan Kereta Api,62037
51,Angkutan Jalan Raya,92715
52,Angkutan Air,15791
53,Angkutan Udara dan Jasa Penunjang Angkutan,18291
54,Komunikasi,43559
55,Bank dan Lembaga Keuangan lainnya,17650
56,Usaha Bangunan dan Jasa Perusahaan,54188
57,Pemerintahan Umum dan Jasa,0
58,Jasa Sosial Kemasyarakatan,0
59,Jasa Lainnya,0
60,Kegiatan yang tak jelas batasannya,0
