ID,Sektor,Total_Cons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
1,Padi-padian,43.71767622,0,0,0,0,7.62057226,16.57028651,0,19.23860576,0,0,0,0,0,0,0.001675828,0.015408967,0,0,0.271126892,0,0,0,0,0,0,0
2,Kacang-kacangan,1.373489911,0,0,0,0,0.239417554,0.520593117,0,0.604424416,0,0,0,0,0,0,5.26499E-05,0.000484108,0,0,0.008518066,0,0,0,0,0,0,0
3,Jagung,1.278941576,0,0,0,0,0.222936522,0.484756514,0,0.562817032,0,0,0,0,0,0,4.90256E-05,0.000450783,0,0,0.007931699,0,0,0,0,0,0,0
4,Umbi-umbian,2.853294964,0,0,0,0,0.497367251,1.081482804,0,1.255634372,0,0,0,0,0,0,0.000109375,0.001005688,0,0,0.017695474,0,0,0,0,0,0,0
5,Sayuran dan buah-buahan,18.67773134,0,0,0,0,3.255776922,7.079410125,0,8.219410107,0,0,0,0,0,0,0.000715973,0.006583253,0,0,0.115834959,0,0,0,0,0,0,0
6,Karet,81.39805539,0,0,0,0,14.18876337,30.85225968,0,35.82041025,0,0,0,0,0,0,0.003120228,0.028689995,0,0,0.504811867,0,0,0,0,0,0,0
7,Tebu,0.234483332,0,0,0,0,0.040873563,0.088876087,0,0.103187836,0,0,0,0,0,0,8.98844E-06,8.26473E-05,0,0,0.001454211,0,0,0,0,0,0,0
8,Kelapa,1.876798977,0,0,0,0,0.327151017,0.711362073,0,0.825912965,0,0,0,0,0,0,7.19432E-05,0.000661507,0,0,0.011639472,0,0,0,0,0,0,0
9,Kelapa Sawit,33.26611137,0,0,0,0,5.798725536,12.6088357,0,14.63924108,0,0,0,0,0,0,0.001275188,0.011725152,0,0,0.20630871,0,0,0,0,0,0,0
10,Lada,1.305101892,0,0,0,0,0.227496613,0.494672045,0,0.574329264,0,0,0,0,0,0,5.00284E-05,0.000460003,0,0,0.008093939,0,0,0,0,0,0,0
11,Kopi,13.39353261,0,0,0,0,2.334670822,5.07654322,0,5.894020817,0,0,0,0,0,0,0.000513414,0.004720756,0,0,0.083063584,0,0,0,0,0,0,0
12,Teh,0.194799677,0,0,0,0,0.033956174,0.073834813,0,0.08572446,0,0,0,0,0,0,7.46725E-06,6.86601E-05,0,0,0.001208102,0,0,0,0,0,0,0
13,Tanaman Lainnya,3.303401684,0,0,0,0,0.575826837,1.252086504,0,1.453710448,0,0,0,0,0,0,0.000126629,0.001164335,0,0,0.020486931,0,0,0,0,0,0,0
14,Peternakan,2.468305196,0,0,0,0,0.430258416,0.935560346,0,1.086213968,0,0,0,0,0,0,9.46174E-05,0.000869992,0,0,0.015307857,0,0,0,0,0,0,0
15,Pemotongan hewan,5.029155174,0,0,0,0,0.876648617,1.90619789,0,2.213153628,0,0,0,0,0,0,0.000192782,0.001772603,0,0,0.031189654,0,0,0,0,0,0,0
16,Uanggas dan hasil-hasilnya,16.05868352,0,0,0,0,2.799242063,6.086713887,0,7.066859633,0,0,0,0,0,0,0.000615577,0.00566013,0,0,0.099592232,0,0,0,0,0,0,0
17,Kayu dan hasil-hasilnya,19.98312392,0,0,0,0,3.483324206,7.574192349,0,8.793867292,0,0,0,0,0,0,0.000766012,0.007043359,0,0,0.123930701,0,0,0,0,0,0,0
18,Perikanan,44.32880828,0,0,0,0,7.727100703,16.80192355,0,19.5075434,0,0,0,0,0,0,0.001699254,0.01562437,0,0,0.274916991,0,0,0,0,0,0,0
19,Penambangan Batu Bara,595.5628893,0,0,0,0,103.8145305,225.7358708,0,262.0862,0,0,0,0,0,0,0.022829685,0.20991529,0,0,3.693542955,0,0,0,0,0,0,0
20,Penambangan Timah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Penambangan Minyak dan gas Bumi,4945.050877,0,0,0,0,861.9881199,1874.319885,0,2176.142296,0,0,0,0,0,0,0.189558406,1.742959154,0,0,30.668059,0,0,0,0,0,0,0
22,Penggalian,238.5601569,0,0,0,0,41.58420737,90.42132363,0,104.9819022,0,0,0,0,0,0,0.009144715,0.084084192,0,0,1.479494781,0,0,0,0,0,0,0
23,Industri Pengolahan dan Pengawetan Makanan,193.1241219,0,0,0,0,33.66410234,73.19972857,0,84.98710743,0,0,0,0,0,0,0.007403018,0.068069564,0,0,1.197711027,0,0,0,0,0,0,0
24,Industri minyak dan lemak,526.9382218,0,0,0,0,91.85233852,199.7251013,0,231.8869068,0,0,0,0,0,0,0.020199098,0.185727472,0,0,3.267948678,0,0,0,0,0,0,0
25,Indsutri penggilingan padi,1715.939836,0,0,0,0,299.1111296,650.3917222,0,755.1245372,0,0,0,0,0,0,0.065777042,0.604809358,0,0,10.64186101,0,0,0,0,0,0,0
26,Industri tepung,527.6276877,0,0,0,0,91.97252159,199.9864291,0,232.1903164,0,0,0,0,0,0,0.020225528,0.185970485,0,0,3.272224585,0,0,0,0,0,0,0
27,Industri Gula,189.955963,0,0,0,0,33.11185011,71.99890305,0,83.59291254,0,0,0,0,0,0,0.007281573,0.066952898,0,0,1.17806284,0,0,0,0,0,0,0
28,Industri Makanan Lainnya,1108.974149,0,0,0,0,193.3089398,420.3338553,0,488.0203685,0,0,0,0,0,0,0.042510255,0.390874977,0,0,6.877600552,0,0,0,0,0,0,0
29,Industri Minuman,26.71769922,0,0,0,0,4.657250227,10.12679468,0,11.7575161,0,0,0,0,0,0,0.001024168,0.009417064,0,0,0.165696976,0,0,0,0,0,0,0
30,Industru Rokok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"Industri Tekstil, pakaian dan kulit",62.766029,0,0,0,0,10.94095343,23.79017307,0,27.62111328,0,0,0,0,0,0,0.002406007,0.022122851,0,0,0.389260359,0,0,0,0,0,0,0
32,"Industri Bambu, Kayu dan Rotan",2678.570337,0,0,0,0,466.9104255,1015.257026,0,1178.744233,0,0,0,0,0,0,0.102677512,0.944103267,0,0,16.61187219,0,0,0,0,0,0,0
33,"Industri kertas, barang-barang dari kertas dan penjilidan",7.251300107,0,0,0,0,1.263998026,2.748456248,0,3.191041155,0,0,0,0,0,0,0.000277964,0.002555832,0,0,0.044970882,0,0,0,0,0,0,0
34,Industri Pupuk dan pestisida,1174.359611,0,0,0,0,204.7064951,445.1168703,0,516.7942015,0,0,0,0,0,0,0.045016672,0.413921087,0,0,7.283106024,0,0,0,0,0,0,0
35,Industri kimia,1513.539003,0,0,0,0,263.829973,573.6758467,0,666.0550765,0,0,0,0,0,0,0.05801842,0.533470075,0,0,9.386617972,0,0,0,0,0,0,0
36,Pengilangan Minyak Bumi,16346.3282,0,0,0,0,2849.382355,6195.73969,0,7193.441901,0,0,0,0,0,0,0.62660304,5.76151451,0,0,101.3761375,0,0,0,0,0,0,0
37,Industri Barang karet dan plastik,9716.859789,0,0,0,0,1693.777862,3682.975964,0,4276.04692,0,0,0,0,0,0,0.372475935,3.424856517,0,0,60.2617115,0,0,0,0,0,0,0
38,Industri barang -barang dari mineral bukan logam,172.6065399,0,0,0,0,30.08761498,65.42296086,0,75.95804399,0,0,0,0,0,0,0.006616518,0.060837827,0,0,1.070465741,0,0,0,0,0,0,0
39,Industri Semen,113.0760581,0,0,0,0,19.71066044,42.85915542,0,49.76078077,0,0,0,0,0,0,0.004334539,0.039855394,0,0,0.701271495,0,0,0,0,0,0,0
40,Industri logam dasar besi dan baja,95.32482759,0,0,0,0,16.61638494,36.1309164,0,41.94909099,0,0,0,0,0,0,0.003654082,0.0335987,0,0,0.591182479,0,0,0,0,0,0,0
41,Industri logam dasar bukan besi,1.91398E-14,0,0,0,0,3.33632E-15,7.25455E-15,0,8.42275E-15,0,0,0,0,0,0,7.33685E-19,6.74611E-18,0,0,1.18701E-16,0,0,0,0,0,0,0
42,Industri  barang  dari logam lainnya,161.4753412,0,0,0,0,28.14729904,61.20390882,0,71.05959647,0,0,0,0,0,0,0.006189827,0.056914465,0,0,1.001432627,0,0,0,0,0,0,0
43,"Industri mesin, alat-alat dan perlengkapan listrik",11.67561569,0,0,0,0,2.03521506,4.425402124,0,5.138026234,0,0,0,0,0,0,0.000447561,0.00411525,0,0,0.072409461,0,0,0,0,0,0,0
