Sektor,Kategori,Hutan lahan kering primer,Hutan lahan kering sekunder / bekas tebangan,Hutan rawa primer,Hutan rawa sekunder,Hutan mangrove primer,Hutan mangrove sekunder,Hutan tanaman,Perkebunan,Semak belukar,Semak belukar rawa,Savanna / Padang rumput,Pertanian lahan kering,Pertanian lahan kering  campur semak / kebun campur,Sawah,Tambak,Pemukiman,Transmigrasi,Lahan terbuka,Pertambangan,Tubuh air,Rawa,Awan,Bandara,Total kebutuhan lahan,LRC,LPC
Padi-padian,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,90867.5,0,0,0,482603,0,0,0,0,0,0,10158.9,0,0,583629.4,0.000181282,5516.253805
Kacang-kacangan,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,53414.9,0,0,0,0,5595.3,0,0,0,0,0,0,59010.2,0.000583415,1714.04697
Jagung,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,53414.9,0,0,0,0,5595.3,0,0,0,0,0,0,59010.2,0.000626545,1596.055359
Umbi-umbian,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,53414.9,0,0,0,0,5595.3,0,0,0,0,0,0,59010.2,0.000280838,3560.769941
Sayuran dan buah-buahan,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,53414.9,0,0,0,0,5595.3,0,0,0,0,0,0,59010.2,4.29E-05,23308.87804
Karet,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,140789.7,0,0,0,0,275001.7,0,0,0,5595.3,0,0,0,0,0,0,421386.7,7.03E-05,14225.17236
Tebu,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,140789.7,0,0,0,0,275001.7,0,0,0,5595.3,0,0,0,0,0,0,421386.7,0.024403073,40.978446
Kelapa,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,140789.7,0,0,0,0,275001.7,0,0,0,5595.3,0,0,0,0,0,0,421386.7,0.003048869,327.9905006
Kelapa Sawit,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,422369.1,0,0,0,0,275001.7,0,0,0,5595.3,0,0,0,0,0,0,702966.1,0.000286951,3484.913372
Lada,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,140789.7,0,0,0,0,275001.7,0,0,0,0,0,0,0,0,0,0,415791.4,0.004326202,231.1496546
Kopi,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,140789.7,0,0,0,0,275001.7,0,0,0,0,0,0,0,0,0,0,415791.4,0.000421557,2372.159948
Teh,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,140789.7,0,0,0,0,275001.7,0,0,0,0,0,0,0,0,0,0,415791.4,0.028984308,34.50142732
Tanaman lainnya,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,31119.4,140789.7,0,0,0,0,275001.7,0,0,0,5595.3,0,0,0,0,0,0,452506.1,0.00186011,537.6024999
Peternakan,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pemotongan Hewan,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,0,4450.769293,1.20E-05,83211.67892
Unggas dan Hasil-hasilnya,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,0,4450.769293,3.76E-06,265704.6702
Kayu dan Hasil-hasilnya,Pertanian Kehutanan dan Perikanan,62636,84306.6,448.2,16002.9,15201.2,26587.5,0,0,41217.2,90867.5,0,0,0,0,0,0,0,0,0,0,10158.9,0,0,347426,0.000236088,4235.701991
Perikanan,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32857.8,0,0,0,0,43042.2,0,0,0,75900,2.33E-05,43009.91774
Penambangan Batu Bara,Pertambangan dan Penggalian ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48760.3,13284,0,0,0,0,62044.3,1.96E-05,51092.36124
Penambangan Timah,Pertambangan dan Penggalian ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48760.3,6642,0,0,0,0,55402.3,0,0
Penambangan Minyak dan Gas Bumi,Pertambangan dan Penggalian ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97520.6,6642,0,0,0,0,104162.6,3.96E-06,252690.6587
Penggalian,Pertambangan dan Penggalian ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97520.6,6642,0,0,0,0,104162.6,8.20E-05,12190.35449
Industri Pengolahan dan Pengawetan Makanan,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,0,4450.769293,6.72E-06,148918.283
Industri Minyak dan Lemak,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,0,4450.769293,2.46E-06,406322.8064
Indsutri Penggilingan Padi,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.769293,0,0,0,0,0,0,0,4450.769293,7.56E-07,1323163.629
