Padi,Pertanian Kehutanan dan Perikanan
Tanaman Bahan Makanan lainnya,Pertanian Kehutanan dan Perikanan
Kopi,Pertanian Kehutanan dan Perikanan
Karet,Pertanian Kehutanan dan Perikanan
Kelapa Sawit,Pertanian Kehutanan dan Perikanan
Tanaman Perkebunan lainnya,Pertanian Kehutanan dan Perikanan
Peternakan dan Hasil-hasilnya,Pertanian Kehutanan dan Perikanan
Kehutanan,Pertanian Kehutanan dan Perikanan
Perikanan,Pertanian Kehutanan dan Perikanan
Pertambangan Migas,Pertambangan dan Penggalian 
Pertambangan Non Migas,Pertambangan dan Penggalian 
Penggalian,Pertambangan dan Penggalian 
Industri Penggilingan Padi,Pertambangan dan Penggalian 
Industri Minyak Hewani dan Nabati,Industri Pengolahan
Industri Makanan dan Minuman lainnya,Industri Pengolahan
Industri Tekstil dan Pakain Jadi,Industri Pengolahan
"Industri Kayu,barang-barang dari kayu dan Furniture",Industri Pengolahan
Industri Karet dan barang-barang dari karet,Industri Pengolahan
Industri Kimia dan barang-barang dr kimia,Industri Pengolahan
Industri Bubur Kertas (Pulp) dan barang2 dari kertas,Industri Pengolahan
Industri Barang Galian Bukan Logam,Industri Pengolahan
"Industri Barang dari logam, bukan mesin dan perlatan",Industri Pengolahan
Industri Kendaraan bermotor dan alat angkutan,Industri Pengolahan
Industri Migas,Industri Pengolahan
Industri barang-barang lainnya,Industri Pengolahan
"Listrik,  Gas dan Air bersih",Pengadaan Listrik Gas
Bangunan,Konstruksi
Perdagangan,Perdagangan Besar dan Eceran Reparasi Mobil dan Sepeda Motor
Hotel dan Restoran,Penyediaan Akomodasi dan Makan Minum
Angkutan jalan raya,Transportasi dan Pergudangan 
"Angkutan sungai, danau dan penyeberangan",Transportasi dan Pergudangan 
Angkutan udara,Transportasi dan Pergudangan 
Jasa penunjang angkutan,Transportasi dan Pergudangan 
Komunikasi,Informasi dan Komunikasi 
Bank dan lembaga keuangan lainnya,Jasa Keuangan dan Asuransi
Real Estate dan Jasa Perusahaan,Real Estat
Pemerintahan umum,Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib
Jasa Pendidikan,Jasa lainnya
Jasa Kesehatan dan Kegiatan Sosial,Jasa lainnya
Jasa-jasa lainnya,Jasa lainnya
Kegiatan yang tak jelas batasannya,Jasa lainnya
