ID ,Sektor,Labour
1,Padi,40761.4862
2,Tanaman Bahan Makanan lainnya,7154.030481
3,Kopi,9905.944072
4,Karet,52168.44588
5,Kelapa Sawit,13964.34701
6,Tanaman Perkebunan lainnya,11261.4
7,Peternakan dan Hasil-hasilnya,17601.26853
8,Kehutanan,22862.27816
9,Perikanan,22924.19966
10,Pertambangan Migas,1658.461081
11,Pertambangan Non Migas,919.8265034
12,Penggalian,220.5124157
13,Industri Penggilingan Padi,844.712306
14,Industri Minyak Hewani dan Nabati,844.712306
15,Industri Makanan dan Minuman lainnya,7943.825146
16,Industri Tekstil dan Pakain Jadi,532.25
17,"Industri Kayu,barang-barang dari kayu dan Furniture",532.25
18,Industri Karet dan barang-barang dari karet,312.14
19,Industri Kimia dan barang-barang dr kimia,3341.371587
20,Industri Bubur Kertas (Pulp) dan barang2 dari kertas,10.293267
21,Industri Barang Galian Bukan Logam,155.0059847
22,"Industri Barang dari logam, bukan mesin dan perlatan",155.0059847
23,Industri Kendaraan bermotor dan alat angkutan,155.0059847
24,Industri Migas,4476.191709
25,Industri barang-barang lainnya,0
26,"Listrik,  Gas dan Air bersih",699.6
27,Bangunan,12905.3
28,Perdagangan,46123.06706
29,Hotel dan Restoran,3705.532935
30,Angkutan jalan raya,7326.045309
31,"Angkutan sungai, danau dan penyeberangan",433.106428
32,Angkutan udara,895.2610028
33,Jasa penunjang angkutan,1217.504806
34,Komunikasi,5447.482455
35,Bank dan lembaga keuangan lainnya,3294.3
36,Real Estate dan Jasa Perusahaan,1972.835864
37,Pemerintahan umum,36621.42675
38,Jasa Pendidikan,895.2610028
39,Jasa Kesehatan dan Kegiatan Sosial,1064.250502
40,Jasa-jasa lainnya,2239.986879
41,Kegiatan yang tak jelas batasannya,0
