Padi,Pertanian kehutanan dan perikanan
Jagung,Pertanian kehutanan dan perikanan
Umbi-umbian dan Pati,Pertanian kehutanan dan perikanan
Sayur-sayuran ,Pertanian kehutanan dan perikanan
Buah-buahan,Pertanian kehutanan dan perikanan
Tanaman Bahan Makanan Lainnya,Pertanian kehutanan dan perikanan
Karet,Pertanian kehutanan dan perikanan
Coklat,Pertanian kehutanan dan perikanan
Kelapa,Pertanian kehutanan dan perikanan
Kelapa Sawit,Pertanian kehutanan dan perikanan
Kopi,Pertanian kehutanan dan perikanan
Tanaman Perkebunan Lainnya,Pertanian kehutanan dan perikanan
Ternak dan Hasilnya,Pertanian kehutanan dan perikanan
Unggas dan Peternakan Lainnya,Pertanian kehutanan dan perikanan
Kehutanan,Pertanian kehutanan dan perikanan
Perikanan,Pertanian kehutanan dan perikanan
Penambangan Minyak dan Gas Bumi,Pertambangan dan penggalian
Penggalian dan Penambangan lainnya,Pertambangan dan penggalian
"Industri Pengolahan Daging, Sayur-sayuran dan Buahan-buhan",Industri pengolahan
Industri Minyak Makan,Industri pengolahan
"Industri Penggilingan Beras, Biji-bijian dan Tepung",Industri pengolahan
"Industri Makanan dari Tepung, Gula, Coklat dan Pengolahannya ",Industri pengolahan
Industri Makanan lainnya,Industri pengolahan
Industri Minuman dan Sirop,Industri pengolahan
Industri Rokok dan Tembakau,Industri pengolahan
"Industri Pemintalan, Penenunan dan Perajutan",Industri pengolahan
Industri Pakaian Jadi,Industri pengolahan
"Industri Penyamakan Kulit, Alas Kaki dan Barang dari Kulit",Industri pengolahan
Industri Penggergajian Kayu dan Bahan Bangunan dari Kayu,Industri pengolahan
Industri Kayu Lapis dan Sejenisnya,Industri pengolahan
"Industri Perabotan Rumahtangga dari Kayu, Bambu dan Rotan",Industri pengolahan
"Industri Kertas, Barang Kertas, Percetakan dan Penerbitan",Industri pengolahan
Industri Kimia Dasar dan Pupuk,Industri pengolahan
Industri Obatan-obatan dan Jamu,Industri pengolahan
"Industri Bahan Pembersih, Kosmetik dan Barang Kimia Lainnya",Industri pengolahan
Industri Pengilangan Migas,Industri pengolahan
Industri Karet dan Barang-Barang dari Karet,Industri pengolahan
Industri Plastik dan Barang dari Plastik,Industri pengolahan
"Industri Keramik, Kapur, Bahan Bukan Logam",Industri pengolahan
Industri Kaca dan Barang dari Kaca,Industri pengolahan
Industri Logam Dasar Besi dan Baja,Industri pengolahan
Industri Barang dari Logam,Industri pengolahan
Industri Mesin dan Perlengkapan,Industri pengolahan
Industri Barang Elektronika untuk Komunikasi dan Rumahtangga,Industri pengolahan
Industri Aki Baterai dan Perlengkapan Listrik Lainnya,Industri pengolahan
"Industri Kapal, Kereta Api, Pesawat Terbang, Perlengkapannya dan Perbaikannya",Industri pengolahan
Industri Kendaraan Bermotor dan Perlengkapannya dan Industri Alat Angkutan Lainnya,Industri pengolahan
Industri Barang-Barang Lainnya,Industri pengolahan
Listrik dan Gas,Pengadaan listrik dan gasa
Air Minum,Pengadaan air pengelolaan sampah limbah dan daur ulang
Bangunan Tempat Tinggal dan Bangunan Bukan Tempat Tinggal,Konstruksi
Bangunan lainnya,Konstruksi
Perdagangan,Perdagangan besar dan eceran reparasi mobil dan sepeda motor
Restoran ,Penyediaan akomodasi dan makan minum
Perhotelan,Penyediaan akomodasi dan makan minum
Angkutan Kereta Api,Trransportasi dan pergudangan
Angkutan Jalan Raya,Trransportasi dan pergudangan
"Angkutan Laut, Danau dan Sungai",Trransportasi dan pergudangan
Angkutan Udara,Trransportasi dan pergudangan
Jasa Penunjang Angkutan,Trransportasi dan pergudangan
Komunikasi,Informasi dan komunikasi
Bank dan Lembaga Keuangan Lainnya,Jasa keuangan dan asuransi
Usaha Persewaan Bangunan dan Tanah,Real estat
Jasa Perusahaan,Jasa perusahaan
Pemerintah dan Pertahanan,Administrasi pemerintahan pertahanan dan jaminan sosial wajib
Jasa Pendidikan dan Kemasyarakatan,Jasa pendidikan
"Jasa Hiburan, Rekreasi dan Kebudayaan ",Jasa kesehatan dan kegiatan sosial
Jasa Perbengkelan,Jasa lainnya
Jasa Kesehatan,Jasa kesehatan dan kegiatan sosial
Jasa Perorangan dan Rumahtangga,Jasa lainnya
Barang dan Jasa Tidak Termasuk Dimanapun,Jasa lainnya
