ID,Sektor,Labour
1,Padi,128062
2,Jagung,17517
3,Umbi-umbian dan Pati,6553
4,Sayur-sayuran ,76991
5,Buah-buahan,53100
6,Tanaman Bahan Makanan Lainnya,4788
7,Karet,178305
8,Coklat,11163
9,Kelapa,22126
10,Kelapa Sawit,282238
11,Kopi,7669
12,Tanaman Perkebunan Lainnya,19081
13,Ternak dan Hasilnya,29491
14,Unggas dan Peternakan Lainnya,99459
15,Kehutanan,33979
16,Perikanan,93727
17,Penambangan Minyak dan Gas Bumi,8205
18,Penggalian dan Penambangan lainnya,40875
19,"Industri Pengolahan Daging, Sayur-sayuran dan Buahan-buhan",34515
20,Industri Minyak Makan,57940
21,"Industri Penggilingan Beras, Biji-bijian dan Tepung",83696
22,"Industri Makanan dari Tepung, Gula, Coklat dan Pengolahannya",50525
23,Industri Makanan lainnya,55821
24,Industri Minuman dan Sirop,16226
25,Industri Rokok dan Tembakau,13522
26,"Industri Pemintalan, Penenunan dan Perajutan",1548
27,Industri Pakaian Jadi,1437
28,"Industri Penyamakan Kulit, Alas Kaki dan Barang dari Kulit",3291
29,Industri Penggergajian Kayu dan Bahan Bangunan dari Kayu,13624
30,Industri Kayu Lapis dan Sejenisnya,16163
31,"Industri Perabotan Rumahtangga dari Kayu, Bambu dan Rotan",14377
32,"Industri Kertas, Barang Kertas, Percetakan dan Penerbitan",14262
33,Industri Kimia Dasar dan Pupuk,44122
34,Industri Obatan-obatan dan Jamu,5672
35,"Industri Bahan Pembersih, Kosmetik dan Barang Kimia Lainnya",31124
36,Industri Pengilangan Migas,4063
37,Industri Karet dan Barang-Barang dari Karet,145014
38,Industri Plastik dan Barang dari Plastik,28937
39,"Industri Keramik, Kapur, Bahan Bukan Logam",4566
40,Industri Kaca dan Barang dari Kaca,9306
41,Industri Logam Dasar Besi dan Baja,26704
42,Industri Barang dari Logam,17089
43,Industri Mesin dan Perlengkapan,8263
44,Industri Barang Elektronika untuk Komunikasi dan Rumahtangga,1425
45,Industri Aki Baterai dan Perlengkapan Listrik Lainnya,7182
46,"Industri Kapal, Kereta Api, Pesawat Terbang, Perlengkapannya dan Perbaikannya",543
47,Industri Kendaraan Bermotor dan Perlengkapannya dan Industri Alat Angkutan Lainnya,1739
48,Industri Barang-Barang Lainnya,1982
49,Listrik dan Gas,63695
50,Air Minum,14914
51,Bangunan Tempat Tinggal dan Bangunan Bukan Tempat Tinggal,124121
52,Bangunan lainnya,267289
53,Perdagangan,581314
54,Restoran ,68036
55,Perhotelan,8952
56,Angkutan Kereta Api,6155
57,Angkutan Jalan Raya,195128
58,"Angkutan Laut, Danau dan Sungai",37625
59,Angkutan Udara,43188
60,Jasa Penunjang Angkutan,68674
61,Komunikasi,76027
62,Bank dan Lembaga Keuangan Lainnya,73798
63,Usaha Persewaan Bangunan dan Tanah,120141
64,Jasa Perusahaan,40361
65,Pemerintah dan Pertahanan,1032419
66,Jasa Pendidikan dan Kemasyarakatan,102189
67,"Jasa Hiburan, Rekreasi dan Kebudayaan",31777
68,Jasa Perbengkelan,96451
69,Jasa Kesehatan,34116
70,Jasa Perorangan dan Rumahtangga,33157
71,Barang dan Jasa Tidak Termasuk Dimanapun,0
