ID,Sektor,Total_Cons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
1,Padi,54.48476722,0,0,0,0,9.497419386,20.65133103,0,23.97682236,0,0,0,0,0,0,0.002088562,0.019203993,0,0,0.337901894,0,0,0,0,0,0,0
2,Jagung,8.847507164,0,0,0,0,1.54223814,3.353465722,0,3.893475524,0,0,0,0,0,0,0.000339151,0.00311844,0,0,0.054870188,0,0,0,0,0,0,0
3,Umbi-umbian dan Pati,4.853211867,0,0,0,0,0.845979359,1.839510196,0,2.13572719,0,0,0,0,0,0,0.000186038,0.001710589,0,0,0.030098495,0,0,0,0,0,0,0
4,Sayur-sayuran ,37.71958217,0,0,0,0,6.575024712,14.29683226,0,16.59905635,0,0,0,0,0,0,0.001445903,0.013294846,0,0,0.233928103,0,0,0,0,0,0,0
5,Buah-buahan,22.93667721,0,0,0,0,3.998167816,8.693676009,0,10.09362181,0,0,0,0,0,0,0.000879231,0.008084384,0,0,0.142247954,0,0,0,0,0,0,0
6,Tanaman Bahan Makanan Lainnya,3.152017713,0,0,0,0,0.549438598,1.194707521,0,1.387091707,0,0,0,0,0,0,0.000120826,0.001110977,0,0,0.019548083,0,0,0,0,0,0,0
7,Karet,51.83300633,0,0,0,0,9.035182204,19.64623557,0,22.80987602,0,0,0,0,0,0,0.001986912,0.018269339,0,0,0.321456287,0,0,0,0,0,0,0
8,Coklat,4.345789065,0,0,0,0,0.757528818,1.647182013,0,1.91242833,0,0,0,0,0,0,0.000166587,0.00153174,0,0,0.026951576,0,0,0,0,0,0,0
9,Kelapa,4.787830315,0,0,0,0,0.834582485,1.814728662,0,2.106955077,0,0,0,0,0,0,0.000183532,0.001687544,0,0,0.029693014,0,0,0,0,0,0,0
10,Kelapa Sawit,101.1068001,0,0,0,0,17.62425962,38.32245422,0,44.49353293,0,0,0,0,0,0,0.003875722,0.035636645,0,0,0.627040932,0,0,0,0,0,0,0
11,Kopi,4.083998543,0,0,0,0,0.711895249,1.547955697,0,1.797223565,0,0,0,0,0,0,0.000156552,0.001439468,0,0,0.025328012,0,0,0,0,0,0,0
12,Tanaman Perkebunan Lainnya,6.455864735,0,0,0,0,1.125343064,2.446962821,0,2.840998132,0,0,0,0,0,0,0.000247472,0.002275469,0,0,0.040037776,0,0,0,0,0,0,0
13,Ternak dan Hasilnya,13.50649206,0,0,0,0,2.354361155,5.119358175,0,5.94373028,0,0,0,0,0,0,0.000517744,0.004760571,0,0,0.083764132,0,0,0,0,0,0,0
14,Unggas dan Peternakan Lainnya,45.92822582,0,0,0,0,8.005900448,17.4081499,0,20.21139059,0,0,0,0,0,0,0.001760565,0.016188109,0,0,0.284836208,0,0,0,0,0,0,0
15,Kehutanan,20.71775431,0,0,0,0,3.611380051,7.852638897,0,9.117152189,0,0,0,0,0,0,0.000794173,0.007302291,0,0,0.128486709,0,0,0,0,0,0,0
16,Perikanan,40.65081932,0,0,0,0,7.085978322,15.40785744,0,17.88899032,0,0,0,0,0,0,0.001558266,0.014328006,0,0,0.252106956,0,0,0,0,0,0,0
17,Penambangan Minyak dan Gas Bumi,130.8954222,0,0,0,0,22.81681254,49.61321909,0,57.60245377,0,0,0,0,0,0,0.005017608,0.046136103,0,0,0.811783059,0,0,0,0,0,0,0
18,Penggalian dan Penambangan lainnya,154.8845204,0,0,0,0,26.99843133,58.70579365,0,68.15920891,0,0,0,0,0,0,0.005937181,0.054591429,0,0,0.960557885,0,0,0,0,0,0,0
19,"Industri Pengolahan Daging, Sayur-sayuran dan Buahan-buhan",1112.652558,0,0,0,0,193.9501354,421.7280806,0,489.6391065,0,0,0,0,0,0,0.042651259,0.392171488,0,0,6.900413193,0,0,0,0,0,0,0
20,Industri Minyak Makan,4727.007508,0,0,0,0,823.9802615,1791.675028,0,2080.189108,0,0,0,0,0,0,0.181200159,1.666106419,0,0,29.31580458,0,0,0,0,0,0,0
21,"Industri Penggilingan Beras, Biji-bijian dan Tepung",1908.367042,0,0,0,0,332.6537501,723.327299,0,839.8049565,0,0,0,0,0,0,0.073153345,0.672633283,0,0,11.83524993,0,0,0,0,0,0,0
22,"Industri Makanan dari Tepung, Gula, Coklat dan Pengolahannya ",1154.578625,0,0,0,0,201.2584062,437.6192942,0,508.089288,0,0,0,0,0,0,0.044258409,0.406948975,0,0,7.160428935,0,0,0,0,0,0,0
23,Industri Makanan lainnya,1843.73373,0,0,0,0,321.3873044,698.8293705,0,811.3621176,0,0,0,0,0,0,0.070675759,0.649852279,0,0,11.43440911,0,0,0,0,0,0,0
24,Industri Minuman dan Sirop,331.5901268,0,0,0,0,57.80056811,125.6824214,0,145.9211073,0,0,0,0,0,0,0.012710829,0.116874035,0,0,2.056445085,0,0,0,0,0,0,0
