ID,SEKTOR,Total_Ec,Padat_Ditimbun_di_TPA ,Padat_Kompos,Padat_R3,Padat_waste_to_energy,Padat_dibakar_terbuka,Padat_tidak_terkelola ,Cair_septic_tank,Cair_MCK_plus,Cair_IPAL_Aerob,Cair_IPAL_Anaerob,Cair_tidak_terkelola,Cair_Biogas,Cair_Pengolahan_KIMIA,Cair_R3,TOTAL
1,Padi,9506053.991,0,2989243.53,0,0,2989243.53,3511174.94,0,0,0,5737.196965,2458.798699,0,0,0,8195.995665
2,Jagung,621098.1321,0,0,185656.7856,0,0,433199.1664,0,0,0,784.7630319,336.3270137,0,0,0,1121.090046
3,umbi-umbian dan Pati,82987.22092,0,0,24644.52,0,0,57503.88,0,0,0,293.587323,125.8231384,0,0,0,419.4104614
4,Sayur-sayuran ,169001.8829,0,0,47744.1,0,0,111402.9,0,0,0,3449.209021,1478.232438,0,0,0,4927.441458
5,Buah-buahan,113075.9113,0,0,31883.715,0,0,74395.335,0,0,0,2378.901442,1019.529189,0,0,0,3398.430631
6,Tanaman Bahan Makanan Lainnya (kacang),7665.526335,0,0,2115.81,0,0,4936.89,0,0,0,214.4892171,91.9239502,0,0,0,306.4131673
7,Karet,34248.53227,0,0,3427.65,0,0,7997.85,0,0,0,7988.061295,3423.454841,0,0,0,11411.51614
8,Coklat,4611.167607,0,0,954.675,0,0,2227.575,0,0,0,500.1211625,214.3376411,0,0,0,714.4588035
9,Kelapa,74619.6104,0,0,0,0,0,41874.86,0,0,0,0,0,0,0,0,32744.7504
10,Kelapa Sawit,4154145.6,0,0,0,0,0,0,0,0,0,862400.6266,1214672.173,0,0,0,2077072.8
11,Kopi,7469.424056,0,0,1946.34,0,0,4541.46,0,0,0,343.5684196,147.2436084,0,0,0,490.8120279
12,Tanaman Perkebunan Lainnya,8888.168965,0,0,1933.74675,0,0,4512.07575,0,0,0,854.8212628,366.3519698,0,0,0,1221.173233
13,Ternak dan Hasilnya,579211.75,0,0,0,0,0,0,0,0,0,0,289605.875,0,0,0,289605.875
14,Unggas dan Peternakan lainnya,10175327.73,0,0,3573.076455,0,0,8337.178395,0,0,0,3557196.115,1524512.621,0,0,0,5081708.736
15,kehutanan,227022.819,0,0,63461.95499,0,0,159211.5713,0,0,0,1522.25245,652.3939069,0,0,0,2174.646356
16,Perikanan,67041.99686,0,0,7716.230431,0,0,7716.230431,0,0,0,18063.3376,7741.4304,0,0,0,25804.768
17,Penambangan Minyak dan Gas,1058.804548,4.307418734,0,0.775335372,0,1.722967494,1.809115868,0,0,0,367.5663986,157.5284566,0,0,0,525.0948552
18,Penggalian dan Penambangan Lainnya,5274.940688,21.45946425,0,3.862703564,0,8.583785698,9.012974983,0,0,0,1831.207616,784.8032639,0,0,0,2616.01088
19,"Industri Pengolahan Daging, sayuran dan buah-buahan",4454.213811,18.12059086,0,3.261706355,0,7.248236345,7.610648162,0,0,0,1546.29042,662.6958944,0,0,0,2208.986315
20,Industri minyak makan,7477.182443,30.41860351,0,5.475348631,0,12.1674414,12.77581347,0,0,0,2595.720833,1112.451785,0,0,0,3708.172618
21,"Industri Penggilingan Beras, biji-bijian dan tepung",10800.94849,43.94031739,0,7.909257131,0,17.57612696,18.4549333,0,0,0,3749.573751,1606.960179,0,0,0,5356.53393
22,"industri makanan dari tepung, gula, coklat dan Pengolahannya",6520.281714,26.52574893,0,4.774634808,0,10.61029957,11.14081455,0,0,0,2263.530576,970.0845324,0,0,0,3233.615108
23,industri makanan lainnya,7203.753855,29.30624389,0,5.2751239,0,11.72249756,12.30862243,0,0,0,2500.799479,1071.771205,0,0,0,3572.570684
24,Industri minuman dan sirop,2093.99342,8.518764397,0,1.533377591,0,3.407505759,3.577881047,0,0,0,726.9345618,311.5433836,0,0,0,1038.477945
25,industri rokok dan tembakau,1744.990882,7.098955546,0,1.277811998,0,2.839582218,2.981561329,0,0,0,605.7775399,259.6189457,0,0,0,865.3964856
26,"industri pemintalan, penenunan dan perajutan",199.8077466,0.812856001,0,0.14631408,0,0.325142401,0.341399521,0,0,0,69.36371212,29.72730519,0,0,0,99.09101731
27,industri pakaian jadi,185.4725665,0.754537756,0,0.135816796,0,0.301815102,0.316905857,0,0,0,64.38722183,27.59452364,0,0,0,91.98174548
28,"industri penyamakan kulit, alas kaki dan barang dari kulit",424.7590894,1.728000945,0,0.31104017,0,0.691200378,0.725760397,0,0,0,147.4560806,63.19546313,0,0,0,210.6515438
29,industri penggergajian kayu dan bahan bangunan dari kayu,1758.155812,7.15251299,0,1.287452338,0,2.861005196,3.004055456,0,0,0,610.3477752,261.5776179,0,0,0,871.9253931
30,industri kayu lapis dan sejenisnya,2085.898004,8.485830703,0,1.527449527,0,3.394332281,3.564048895,0,0,0,724.12422,310.3389514,0,0,0,1034.463171
31,"industri perabotan rumah tangga dari kayu, bambu dan rotan",1855.310835,7.547758145,0,1.358596466,0,3.019103258,3.170058421,0,0,0,644.0753617,276.0322979,0,0,0,920.1076596
32,"industri kertas, barang kertas, percetakan dan penerbitan",1840.504169,7.487521801,0,1.347753924,0,2.995008721,3.144759157,0,0,0,638.9351937,273.8293687,0,0,0,912.7645625
33,industri kimia dasar dan pupuk,5693.912182,23.16392015,0,4.169505627,0,9.265568061,9.728846464,0,0,0,1976.65452,847.1376512,0,0,0,2823.792171
34,industri obat-obatan dan Jamu,732.0149832,2.977976491,0,0.536035768,0,1.191190597,1.250750126,0,0,0,254.1206606,108.9088545,0,0,0,363.0295151
35,"Industri Bahan Pembersih, Kosmetik dan Barang Kimia Lainnya",4016.503922,16.3399036,0,2.941182648,0,6.535961439,6.862759511,0,0,0,1394.33844,597.5736173,0,0,0,1991.912058
36,Industri Pengilangan Migas,1058.804548,4.307418734,0,0.775335372,0,1.722967494,1.809115868,0,0,0,367.5663986,157.5284566,0,0,0,525.0948552
37,Industri karet dan Barang-barang dari karet,18714.03869,76.13227674,0,13.70380981,0,30.4529107,31.97555623,0,0,0,6496.620949,2784.266121,0,0,0,9280.88707
38,Industri plastik dan barang dari plastik,3734.341373,15.19201256,0,2.73456226,0,6.076805023,6.380645274,0,0,0,1296.385072,555.5936021,0,0,0,1851.978674
39,"industri keramik, kapur, bahan bukan logam",589.205712,2.397001153,0,0.431460208,0,0.958800461,1.006740484,0,0,0,204.5440984,87.66175646,0,0,0,292.2058549
40,industri kaca dan barang dari kaca,1200.895605,4.885472242,0,0.879385004,0,1.954188897,2.051898342,0,0,0,416.8936313,178.6686991,0,0,0,595.5623304
41,industri logam dasar besi dan baja,3446.207948,14.01983086,0,2.523569555,0,5.607932344,5.888328962,0,0,0,1196.3589,512.7252429,0,0,0,1709.084143
