Year,Population,,,,,,,,,,,,,,,,,,,,,,,,
2010,13028700,,,,,,,,,,,,,,,,,,,,,,,,
2011,13210520,,,,,,,,,,,,,,,,,,,,,,,,
2012,13392340,,,,,,,,,,,,,,,,,,,,,,,,
2013,13574160,,,,,,,,,,,,,,,,,,,,,,,,
2014,13755980,,,,,,,,,,,,,,,,,,,,,,,,
2015,13937800,,,,,,,,,,,,,,,,,,,,,,,,
2016,14090940,,,,,,,,,,,,,,,,,,,,,,,,
2017,14244080,,,,,,,,,,,,,,,,,,,,,,,,
2018,14397220,,,,,,,,,,,,,,,,,,,,,,,,
2019,14550360,,,,,,,,,,,,,,,,,,,,,,,,
2020,14703500,,,,,,,,,,,,,,,,,,,,,,,,
2021,14825040,,,,,,,,,,,,,,,,,,,,,,,,
2022,14946580,,,,,,,,,,,,,,,,,,,,,,,,
2023,15068120,,,,,,,,,,,,,,,,,,,,,,,,
2024,15189660,,,,,,,,,,,,,,,,,,,,,,,,
2025,15311200,,,,,,,,,,,,,,,,,,,,,,,,
2026,15401700,,,,,,,,,,,,,,,,,,,,,,,,
2027,15492200,,,,,,,,,,,,,,,,,,,,,,,,
2028,15582700,,,,,,,,,,,,,,,,,,,,,,,,
2029,15673200,,,,,,,,,,,,,,,,,,,,,,,,
2030,15763700,,,,,,,,,,,,,,,,,,,,,,,,
2031,15825640,,,,,,,,,,,,,,,,,,,,,,,,
2032,15887580,,,,,,,,,,,,,,,,,,,,,,,,
2033,15949520,,,,,,,,,,,,,,,,,,,,,,,,
2034,16011460,,,,,,,,,,,,,,,,,,,,,,,,
2035,16073400,,,,,,,,,,,,,,,,,,,,,,,,
