Sektor,Kategori,Hutan lahan kering primer,Hutan lahan kering sekunder / bekas tebangan,Hutan rawa primer,Hutan rawa sekunder,Hutan mangrove primer,Hutan mangrove sekunder,Hutan tanaman,Perkebunan,Semak belukar,Semak belukar rawa,Savanna / Padang rumput,Pertanian lahan kering,Pertanian lahan kering  campur semak / kebun campur,Sawah,Tambak,Pemukiman,Transmigrasi,Lahan terbuka,Pertambangan,Tubuh air,Rawa,Awan,Bandara,Total kebutuhan lahan,LRC,LPC
Padi,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,0,0,5045.7,0,223094.5,0,295551,0,0,0,0,0,0,797.2,0,0,524488.4,0.130718319,7.65003715
Jagung,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,0,0,0,0,223094.5,0,0,0,0,101.2,0,0,0,0,0,0,223195.7,0.342563091,2.919170297
Umbi-umbian dan Pati,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,0,0,0,0,223094.5,0,0,0,0,101.2,0,0,0,0,0,0,223195.7,0.62449971,1.601281769
Sayur-sayuran,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,0,0,0,0,223094.5,0,0,0,0,101.2,0,0,0,0,0,0,223195.7,0.080351617,12.44530034
Buah-buahan,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,2197.617225,4447.659774,61776.9,5045.7,0,223094.5,32838.5,0,0,0,101.2,0,0,0,0,0,0,329502.077,0.195075766,5.126213358
Tanaman Bahan Makanan Lainnya,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,3019.413305,32733.29925,0,0,0,223094.5,32838.5,0,0,0,101.2,0,0,0,0,0,0,291786.9126,1.257050797,0.795512801
Karet,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,0,0,0,0,223094.5,0,0,0,0,101.2,0,0,0,0,0,0,223195.7,0.058472962,17.10192144
Coklat,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,0,0,0,0,223094.5,229869.5,0,0,0,101.2,0,0,0,0,0,0,453065.2,1.415684939,0.706371857
Kelapa,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,0,0,0,0,223094.5,0,0,0,0,101.2,0,0,0,0,0,0,223195.7,0.63302774,1.579709604
Kelapa Sawit,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,860606.4,0,0,0,0,0,0,0,0,101.2,0,0,0,0,0,0,860707.6,0.115598165,8.650656345
Kopi,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,0,0,0,0,223094.5,0,0,0,0,101.2,0,0,0,0,0,0,223195.7,0.742123037,1.347485458
Tanaman Perkebunan Lainnya,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,3361.713683,536556.641,0,0,0,0,32838.5,0,0,0,0,0,0,0,0,0,0,572756.8547,1.204735038,0.830058036
Ternak dan Hasilnya,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unggas dan Peternakan Lainnya,Pertanian kehutanan dan perikanan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kehutanan,Pertanian kehutanan dan perikanan,580031,959963,560,61744,1432,35958,26461.6,0,555992.1,40365.6,0,0,0,0,0,0,0,0,0,0,7174.8,0,0,2269682.1,1.4876406,0.67220537
