SEKTOR,,Padat_Ditimbun_di_TPA ,Padat_Kompos,Padat_R3,Padat_waste_to_energy,Padat_dibakar_terbuka ,Padat_tidak_terkelola,Cair_septic_tank,Cair_MCK_plus,Cair_IPAL__Aerob,Cair_IPAL_Anaerob, Cair_tidak_terkelola,Cair_Biogas,Cair_Pengolahan_KIMIA,Cair_R3
Padi,,,,,,,,,,,,,,,
Tanaman Bahan Makanan lainnya,Jagung,0.00,0.00,"26,448.66",0.00,0.00,"61,713.55",0,0,0,161.3248,69.1392,0,0,0
Karet,Ketela pohon ,0.00,0.00,"2,015.73",0.00,0.00,"4,703.37",0,0,0,89.3312,38.2848,0,0,0
Kelapa Sawit,Ketela rambat ,0.00,0.00,"1,636.34",0.00,0.00,"3,818.12",0,0,0,16.4864,7.0656,0,0,0
Kopi,Kacang tanah ,0.00,0.00,112.46,0.00,0.00,262.40,0,0,0,9.4976,4.0704,0,0,0
Tanaman Pekebunan Lainnya,Kacang Kedelai ,0.00,0.00,194.27,0.00,0.00,453.29,0,0,0,28.0896,12.0384,0,0,0
Peternakan dan hasil-hasilnya,Kentang,0.00,0.00,"2,490.71",0.00,0.00,"5,811.65",0,0,0,115.0912,49.3248,0,0,0
Kayu,Sayur-sayuran,0.00,0.00,"8,381.79",0.00,0.00,"19,557.51",0,0,0,251.4176,107.7504,0,0,0
Hasil hutan lainnya,Buah-buahan,0.00,0.00,"11,587.41",0.00,0.00,"27,037.29",0,0,0,303.744,130.176,0,0,0
Perikanan,Tanaman Bahan Makanan Lainnya ,0.00,0.00,25.47,0.00,0.00,59.43,0,0,0,22.6688,9.7152,0,0,0
Pertambangan Migas,,,,,,,,,,,,,,,
Pertambangan non-Migas,,,,,,,,,,,,,,,
Penggalian,,,,,,,,,,,,,,,
Pengilangan minyak bumi,Kelapa dalam ,0.00,0.00,0.00,0.00,0.00,"44,254.42",0,0,0,10481.31,24456.39,0,0,0
"Industri penggilingan padi, biji-bijian",Kayu manis ,0.00,0.00,"2,746.94",0.00,0.00,"6,409.52",0,0,0,528.192,226.368,0,0,0
Industri Kelapa Sawit,Pinang,0.00,0.00,384.84,0.00,0.00,897.96,0,0,0,6.3168,2.7072,0,0,0
"Industri Makanan dan Minuman Lainnya, kimia dan barang dari karet",Tanaman perkebunan lainnya ,0.00,0.00,"2,184.72",0.00,0.00,"2,184.72",0,0,0,104.384,44.736,0,0,0
"Industri Barang dari Kayu dan Hasil hutan lainnya, barang lain bukan logam",Ternak besar dan hasil-hasilnya,0.00,0.00,0.00,0.00,0.00,"4,944.90",0,0,0,0,24724.5,0,0,0
"Industri Barang dari Karet dan Plastik, besi dan baja",Ternak kecil dan hasil-hasilnya ,0.00,0.00,300.48,0.00,0.00,300.48,0,0,0,0,326.83765,0,0,0
"Industri kertas dan barang dari kertas, mesin dan peralatan",Ayam buras ,0.00,0.00,177.48,0.00,0.00,414.13,0,0,0,115.3152,49.4208,0,0,0
Industri pupuk dan bahan kimia,Ayam ras ,0.00,0.00,328.29,0.00,0.00,766.01,0,0,0,180.7232,77.4528,0,0,0
"Industri semen, dan barang galian bukan logam",Unggas lainnya ,0.00,0.00,25.77,0.00,0.00,60.13,0,0,0,119.0336,51.0144,0,0,0
Industri Lainnya,Telur,0.00,0.00,5.00,0.00,0.00,11.66,0,0,0,0,150.138891,0,0,0
"Listrik, Gas dan Air Bersih",,,,,,,,,,,,,,,
Konstruksi,,,,,,,,,,,,,,,
Perdagangan Besar dan Eceran,Udang,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,43.7696,18.7584,0,0,0
"Transportasi ,sungai,  dan penyeberangan",Perikanan laut lainnya,0.00,0.00,499.14,0.00,0.00,499.14,0,0,0,171.9872,73.7088,0,0,0
